Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cayman Islands,CYM,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,142.486,140.332,137.1,134.519,128.764,123.306,119.752,114.268,110.012,101.989,118.64,104.223,126.056,109.4,94.914,87.944,82.663,80.071,80.692,80.738,82.752,83.798,72.532,66.631,64.401,61.229,58.198,53.75,56.815,65.454,70.128,71.067,65.163,61.131,57.796,56.803,56.319,55.699,55.131,54.365,54.062,53.427,51.283,49.796,48.321,45.936,43.76,42.2,40.596,38.932,35.728,31.865,26.953,23.298,18.532,15.304,12.706,11.063,10.56,11.533,11.85,11.611,11.515,
Cayman Islands,CYM,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,19.7,,,,,,,,,25.5,,,,,,,,,,25.2,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
Cayman Islands,CYM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,25.4,,,,,,,,,27.3,,,,,,,,,,27.6,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,,,,
Cayman Islands,CYM,Age dependency ratio (% of working-age population),SP.POP.DPND,76.30202886425434,78.03767335955288,80.01230012300124,81.8900831474346,83.39335734293718,84.63510848126232,85.48700038804812,85.95355919299581,85.9914195112852,85.49270072992701,83.60684357541899,80.50089445438283,77.27546714888487,74.12851742965141,70.88871514203805,67.69642422768183,64.71794871794872,61.95582243191079,59.26075949367089,56.73888036809815,54.771182600815585,53.15199726285177,51.400888171174806,49.6258970835242,47.920734794243145,46.29527991218441,44.7567497065345,43.35507921714819,42.10869823187374,40.961124334126715,39.696953414647254,38.379639018454675,37.231492136555424,36.327254536359085,35.658344511271686,35.12297788048861,34.670453200804644,34.3133549996221,33.997459626202144,33.69185640452577,33.627484001347256,33.640148311975544,33.49032906304949,33.242349801352624,32.903528308521864,32.490443154466945,32.04391151992992,31.601112435439017,31.210240098501952,30.919857679580005,30.828758675727308,30.96707334306845,31.151153448869508,31.21630388581911,31.24768200362153,31.270497039908,31.27509517964508,31.31549496388239,31.39583540898675,31.46014761588628,31.43753827311696,31.769570529085613,32.4385822110404,33.04067469352812
Cayman Islands,CYM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,140.0,145.0,146.5,147.0,146.5,145.0,144.5,145.5,145.5,139.5,144.0,160.0,167.5,170.0,171.0,169.0,163.0,152.5,136.5,125.5,150.5,179.5,184.0,187.0,189.0,192.5,196.5,200.0,204.5,210.0,220.0,233.0,245.5,257.5,267.5,275.0,278.5,278.0,272.5,268.5,291.0,318.0,324.5,328.5,339.0,350.5,356.0,361.5,364.0,365.5,382.5,399.0,401.0,400.0,398.0,395.0,391.5,388.0,384.5,382.0,379.5,409.5,438.5,433.5
Cayman Islands,CYM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,139.0,149.5,154.0,155.0,154.5,154.0,155.0,156.5,157.5,152.5,153.5,164.0,169.0,170.5,170.5,169.5,166.5,161.0,153.0,148.5,164.5,182.5,187.0,192.0,198.5,203.5,204.5,204.0,204.5,209.0,224.0,241.0,253.0,264.5,274.0,281.0,284.5,284.0,278.5,275.0,300.0,326.5,330.0,331.0,334.5,344.5,358.0,372.0,387.5,397.5,395.0,403.5,415.0,412.5,407.5,401.5,396.5,392.0,389.0,386.5,385.5,421.0,454.0,449.0
Cayman Islands,CYM,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,121.5,135.5,140.5,142.0,142.0,141.0,139.5,139.5,140.5,141.0,137.0,143.5,160.0,167.5,170.0,170.5,167.5,161.0,149.0,132.0,126.5,153.5,179.5,183.5,186.5,188.5,191.5,195.5,199.0,204.0,211.0,222.0,235.5,248.0,259.5,269.5,276.0,278.0,276.0,269.5,267.5,291.5,318.0,323.0,325.5,337.0,349.0,354.0,359.5,361.0,362.5,381.0,397.5,398.5,396.5,393.0,389.0,385.0,381.5,378.5,376.0,379.5,415.5,444.5
Cayman Islands,CYM,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,126.5,134.0,144.5,149.0,150.0,149.0,147.5,148.5,150.5,151.5,148.5,151.5,161.5,166.5,168.5,168.0,166.5,163.5,157.0,149.0,148.5,165.5,181.0,185.5,191.0,197.5,202.5,203.5,202.0,202.0,209.0,225.5,242.0,254.0,265.5,274.5,280.5,283.0,281.0,275.0,275.5,301.5,324.5,326.0,326.0,329.0,339.5,354.5,369.0,385.0,395.5,394.5,402.5,411.5,407.5,401.5,395.0,389.5,384.5,381.0,379.0,385.5,427.5,459.5
Cayman Islands,CYM,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,112.0,119.5,133.0,138.5,140.0,140.0,138.5,136.5,136.5,137.5,139.5,138.5,146.0,161.5,168.5,171.0,171.5,167.5,159.5,147.0,133.5,131.5,157.0,181.0,184.5,186.5,188.0,191.0,195.0,198.5,204.0,212.0,224.0,238.5,251.0,262.5,271.5,277.0,278.5,275.5,269.5,268.5,291.5,317.5,322.0,323.5,336.0,348.5,352.5,357.5,359.0,362.5,381.5,396.0,396.0,393.0,389.0,384.5,380.0,376.0,372.5,376.0,385.0,420.5
Cayman Islands,CYM,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,122.5,124.5,132.5,142.5,147.5,148.0,146.0,144.5,145.5,148.0,150.5,149.0,152.5,162.5,167.0,168.0,167.0,165.0,161.5,155.5,150.0,151.5,166.5,180.5,185.0,190.5,198.0,203.0,203.0,201.0,202.5,211.0,227.5,244.5,257.0,268.0,276.0,281.0,282.0,279.0,275.5,279.0,303.5,323.5,323.0,321.0,323.5,335.5,352.0,367.0,384.0,396.0,396.0,402.5,409.0,403.5,396.0,388.5,382.5,377.5,374.0,378.5,391.0,432.5
