Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Channel Islands,CHI,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,29.331,29.532,30.782,33.453,37.468,40.618,42.398,42.917,43.293,42.681,41.954,41.622,37.419,34.073,31.283,28.489,25.624,24.79,23.439,22.843,22.064,21.797,21.344,22.584,22.074,22.732,23.694,24.696,25.959,26.612,27.33,25.791,24.917,23.665,23.985,23.647,24.81,25.869,26.129,26.625,25.971,25.044,23.772,23.541,22.02,19.984,19.61,20.138,20.721,20.246,19.32,17.844,16.425,14.942,13.613,12.386,11.456,10.563,9.874,9.322,8.886,8.717,8.72,
Channel Islands,CHI,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,26.8,,,,,28.2,,,,,,,,,,29.7,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,28.2,,,,,29.3,,,,,,,,,,31.3,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Age dependency ratio (% of working-age population),SP.POP.DPND,52.96310100633619,53.16379381217287,53.01967053213396,52.89913266945069,52.882732708895595,52.99769609383181,53.19187546176879,53.427225224993904,53.78044278093929,54.241551022471626,54.828703471140805,55.383674946044735,55.47465107366703,55.052183902427096,54.277545899780456,53.17941764202112,52.33223451848363,51.9549735276203,51.526561826045395,50.85203248265236,50.00977359748876,49.0200090950432,47.89468383891506,46.780280109579394,45.893704112793195,45.24427081665546,44.77937457855698,44.503926510717186,44.30812653872699,44.15782878449831,44.10727953913709,44.35994676646287,44.82423927074057,45.22216434953323,45.52244042785681,45.71136213157842,45.88841339359986,46.04312953844003,46.134410313544485,46.17556442744915,46.12273086029992,46.172126639956005,46.32860476241616,46.40675007273785,46.41237252390628,46.2623696175448,45.92267368142162,45.55354582345388,45.31467751825631,45.22898475893672,45.21876058555878,45.671963077147595,46.63079168186793,47.507157576089135,48.18868955468537,48.76359499431172,49.30034254063115,49.92199118637264,50.44920966462052,50.7746363487411,51.080150139506145,51.2842846384859,51.40984081566128,51.65409589957856
Channel Islands,CHI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,852.0,869.0,868.0,877.0,885.0,891.0,902.0,899.0,876.0,863.0,859.0,847.0,817.0,776.0,732.0,678.0,670.0,699.0,706.0,713.0,724.0,723.0,722.0,733.0,753.0,749.0,753.0,786.0,809.0,836.0,881.0,904.0,886.0,864.0,842.0,805.0,813.0,844.0,836.0,807.0,780.0,789.0,801.0,802.0,801.0,790.0,794.0,804.0,804.0,810.0,821.0,838.0,853.0,837.0,810.0,795.0,773.0,746.0,728.0,693.0,662.0,667.0,673.0,673.0
Channel Islands,CHI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,896.0,895.0,902.0,917.0,930.0,933.0,926.0,919.0,907.0,898.0,921.0,916.0,860.0,811.0,770.0,726.0,713.0,725.0,725.0,728.0,737.0,744.0,757.0,776.0,784.0,799.0,820.0,836.0,855.0,878.0,899.0,916.0,922.0,915.0,894.0,851.0,858.0,883.0,867.0,851.0,803.0,791.0,831.0,842.0,841.0,837.0,827.0,826.0,832.0,837.0,834.0,854.0,886.0,867.0,837.0,820.0,809.0,791.0,759.0,739.0,731.0,707.0,699.0,708.0
Channel Islands,CHI,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,818.0,845.0,863.0,867.0,881.0,888.0,893.0,906.0,901.0,873.0,859.0,852.0,834.0,801.0,758.0,711.0,664.0,660.0,684.0,693.0,705.0,719.0,719.0,714.0,723.0,745.0,743.0,744.0,771.0,792.0,828.0,882.0,902.0,878.0,852.0,828.0,795.0,807.0,833.0,825.0,794.0,770.0,786.0,795.0,796.0,796.0,784.0,789.0,801.0,801.0,808.0,824.0,847.0,867.0,847.0,811.0,798.0,778.0,751.0,735.0,691.0,657.0,669.0,677.0
