Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Euro area,EMU,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5509827019654,44.935528217420426,49.65544292247605,53.27800006334259,56.763978899773925,60.04455830286981,62.611211573236886,64.64745170661494,66.88023583912403,68.9583204943157,70.26855687022304,71.80224193244008,74.32728707777306,74.55555161304058,75.00153291626962,77.40316189579198,78.61505809490694,81.4510107967834,81.76434344953978,,,,,
Euro area,EMU,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.80373559205067,40.35140067811544,43.38397370892019,45.878276466951355,48.113404051473985,50.62782195381459,53.353040918119056,55.43682216164553,57.94354029783421,59.85728566134967,63.012840649732986,64.41532545796768,66.22474274228749,68.29227262667607,70.24816993334392,73.36640480311816,76.40347941347031,79.21746547559998,80.82445722723239,,,,,
Euro area,EMU,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.42,,,94.68,,,95.3,,,,98.51,,
Euro area,EMU,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.75,,,93.84,,,94.0,,,,98.31,,
Euro area,EMU,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.36,,,95.57,,,96.68,,,,98.7,,
Euro area,EMU,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.29837,98.0822,98.05837,98.17238,97.96402,97.79556,97.71083,98.38689,98.44596,98.6094,98.57118,98.47706,98.41267,98.5297,98.6214,98.56774,98.06531,98.19395,98.14906,97.97185,97.30733,,,,,
Euro area,EMU,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.04712,98.04775,98.22737,97.94165,,,,,,98.62817,98.56388,98.48872,98.63847,98.85392,98.81592,98.30665,98.39596,98.39177,98.20586,97.69648,,,,,
Euro area,EMU,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.15777,98.10126,98.14843,98.01465,,,,,,98.55292,98.43026,98.37305,98.44321,98.41591,98.34808,97.85207,98.01813,97.91897,97.74997,96.98369,,,,,
Euro area,EMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,28.274828263655632,28.51254633942371,27.98983600152566,28.083894325004863,28.11530018816277,29.548216941671264,32.15878985244707,32.98225612910553,33.7488983907104,34.20679249892216,34.28277817609335,34.70083589942137,33.876319763917095,32.67949489249862,32.41372258695571,30.983288106686388,30.0773265848966,28.829857980515428,27.657683616460744,26.587607070534453,25.986145783432427,24.18678981447668,23.117111958865458,21.39577798303695,20.220670638328492,18.78857450486839,17.734870316671465,16.952203647883742,16.681030691558792,15.829624838522223,16.095359758675293,15.60307208700252,14.672702012657751,13.597687052745316,12.373283124767044,11.56149846543214,11.32435638662646,11.08769762298916,11.180479402559998,11.615192325518436,12.020674606426626,11.99207331085104,11.644469594189252,11.320536306490435,11.12854318856813,10.893631987970435,10.79638087664027,10.776112373558531,10.889452519100544,10.385752531729006,9.994984658768264,9.326081451040787,8.866799872916056,8.227858723196158,7.95948961857067,7.627578590323393,7.5763344259727905,7.060672373127715,6.491591433360743,6.1235042272560465,5.613342989552066,5.176841390186908,4.730400628847893,
Euro area,EMU,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
