Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France,FRA,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
France,FRA,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,67.0,70.0,72.0,74.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,80.0,80.0,80.0,79.0,79.0,79.0,,,
France,FRA,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,76.0,75.0,74.0,72.0,71.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,74.0,75.0,79.0,80.0,80.0,80.0,80.0,79.0,,,
France,FRA,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.98,,,96.58,,,94.0,,,,99.24,,
France,FRA,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.57,,,95.47,,,91.29,,,,100.0,,
France,FRA,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49,,,97.79,,,96.98,,,,98.42,,
France,FRA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,97.3487,97.27084,97.31155,97.57172,,96.81501,96.94516,,98.94168,99.29482,98.85366,97.61584,95.46911,,94.87775,97.61482,99.88708,99.84556,99.85966,99.91749,99.98827,99.21937,97.83304,97.79167,98.94106,99.94659,99.9391,,96.57289,96.18632,96.09347,96.04528,95.82227,95.78781,99.23101,99.26235,99.18236,98.74538,98.38524,98.01978,99.03727,98.91622,98.91152,98.15483,98.99877,99.37467,99.468,,,,,,
France,FRA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,97.79763,97.81244,,,,,94.51584,,99.11278,99.65606,,97.76446,95.84342,,95.09114,97.59173,,,,,,99.21433,97.82435,97.7116,98.85628,,99.98995,,96.70934,96.38437,96.31465,96.28813,96.06549,96.12869,,,,98.99369,98.65272,98.17552,99.40517,99.45468,99.33608,98.4824,99.21302,99.65002,,,,,,,
France,FRA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,96.91728,96.75117,,,,,99.26753,,98.77855,98.95077,,97.47441,95.11292,,94.67462,97.63682,,,,,,99.22418,97.84133,97.86809,99.02199,,99.89051,,96.44267,95.99746,95.88284,95.81389,95.59075,95.4637,,,,98.50922,98.13062,97.87116,98.68595,98.40213,98.50656,97.84189,98.79394,99.11181,,,,,,,
France,FRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,29.622,30.167,28.837,29.361,30.83,34.669,37.249,36.788,36.839,37.126,37.383,38.707,39.719,39.366,37.107,33.963,30.947,29.789,26.901,24.897,24.343,22.649,21.445,19.309,18.121,16.272,14.996,13.629,13.021,12.695,12.864,13.154,12.584,11.312,10.117,9.444,9.252,9.17,9.867,10.873,11.871,11.994,11.283,10.869,10.956,10.895,11.009,10.836,10.954,10.727,10.611,10.22,9.873,9.218,8.843,8.176,7.557,7.122,6.397,6.127,5.616,4.94,3.979,
France,FRA,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,22.3,22.3,22.2,22.2,22.1,23.0,22.2,22.3,22.5,22.7,23.0,23.2,24.4,24.6,25.0,24.7,25.1,25.6,26.0,26.4,27.7,27.2,,,,,,,,30.1,30.2,30.5,,31.0,,31.0,,,22.7,,,25.6,32.0,32.0,,,,,,,,,,
France,FRA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,25.2,25.0,24.9,24.7,24.6,25.3,24.5,24.6,24.7,24.9,25.1,25.4,26.4,26.5,26.9,26.6,27.0,27.5,27.9,28.4,29.8,29.2,,,,,,,,32.2,32.2999999999999,32.6,,32.9,,33.0,,,,,,27.7,33.6,33.7,,,,,,,,,,
France,FRA,Age dependency ratio (% of working-age population),SP.POP.DPND,61.33325003463973,61.52246018091898,61.14542206053274,60.75359962269699,60.60620966130311,60.52088763859115,60.540870793086945,60.640013250805055,60.66531869900427,60.59920164119276,60.49005239247036,60.461554322093214,60.43933460624892,60.33893359735283,60.07705275734758,59.74920522313256,59.29334023309792,58.81221742438376,58.37928203129087,57.8368716773569,56.99581267303701,55.716332308411985,54.441038637415694,53.32508360988325,52.328366217988986,51.892740048621235,51.84226437870668,51.70332219134235,51.58219557356048,51.58345718055181,51.79277941117044,52.17175195779916,52.488215746994904,52.68757927519512,52.8489827950778,52.96215802564005,53.022918518915354,53.07841377467321,53.2192971135075,53.458977361130465,53.69197196356633,53.826354415758615,53.855081202226394,53.77827556765561,53.73053968874093,53.70540079613358,53.60949220531749,53.61805246184168,53.864441596055265,54.24469581525221,54.591548563142,55.27640536313234,56.29346427222065,57.16792246977792,58.06263676157272,58.97389112712263,59.662349731122355,60.26134916605231,60.82497867807285,61.33933362572101,61.77721560851705,62.06394356853887,62.36076580450452,62.69135908414521
France,FRA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,409690.5,409972.5,408559.5,411505.0,421474.0,420146.0,416496.0,410347.0,403821.5,404232.0,407093.5,416340.0,422233.5,415156.0,395521.5,366911.0,346840.5,346818.0,350769.0,354026.0,368719.5,378943.5,379633.0,367602.5,358505.5,363997.0,370250.0,371811.0,370489.5,370817.0,367557.5,366304.0,362439.0,351190.5,345386.5,350126.5,355083.0,353759.0,366778.0,369531.5,364935.0,371913.0,368826.0,366182.5,367077.5,369753.5,375561.0,376790.5,376218.5,378327.5,379795.5,378678.5,373338.5,367524.5,364120.5,355048.0,361476.0,355509.5,332203.0,329585.5,325727.5,332678.5,339302.0,323519.0
France,FRA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,427951.0,428107.5,426060.0,428148.5,438825.0,438798.0,434934.5,428574.0,421549.0,421929.5,426484.5,436709.0,443161.5,436522.5,415736.0,384854.5,363366.0,364111.5,368681.0,372060.0,387195.0,397994.5,399266.5,386146.0,375715.0,381779.5,388855.0,389846.0,388383.5,388392.5,386239.5,386015.0,380972.5,368661.0,361837.5,366511.0,373083.5,373088.0,387746.0,390291.5,383752.0,389808.5,385983.0,383133.5,384391.0,386976.0,392878.5,394725.5,393500.0,395555.0,398142.0,395560.5,390253.0,386400.5,379243.5,368872.5,379009.0,371278.5,347322.0,346081.0,340465.5,348033.5,355441.0,339109.0
France,FRA,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,405467.0,403849.0,404354.0,406037.5,411473.5,421106.0,419752.5,415940.5,409289.0,403250.0,404452.0,407211.5,415896.5,421054.0,412928.0,391401.0,363191.5,344678.5,344412.5,348256.5,351369.0,365823.0,376621.5,377388.0,364502.0,354976.0,360963.5,367882.0,369724.0,368713.5,368464.0,364971.5,363188.0,359093.0,348609.5,343028.5,347520.0,352448.5,357347.5,372028.5,370598.0,366091.0,373010.0,369627.5,366548.0,367292.5,370458.5,376965.5,378760.0,378266.0,379581.5,381004.5,379873.0,374344.0,368884.0,365623.0,354623.0,361562.0,357279.5,333453.0,331292.5,326905.0,333364.5,339783.0
