Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gibraltar,GIB,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,72.74156,71.14635,,71.02273,73.52637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.70191,,,,,,,
Gibraltar,GIB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,76.03662,74.1038,,73.00744,75.46567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,69.62283,68.35187,,69.14573,71.69432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,24.868,18.631,16.511,22.082,33.869,39.899,40.326,40.306,41.226,43.405,44.783,45.325,44.516,43.826,43.919,44.49,43.803,43.777,44.725,45.712,46.141,43.281,41.308,41.354,40.286,38.746,36.606,35.731,35.153,34.547,34.012,33.695,32.846,32.576,31.844,30.79,28.007,26.525,25.838,25.125,24.617,23.382,18.428,17.159,17.199,16.971,16.355,15.794,15.402,15.09,15.035,14.697,13.946,12.67,11.279,10.05,8.796,8.832,8.797,8.689,8.388,8.283,8.477,
Gibraltar,GIB,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,21.5,,,,,,,,,,,21.1,,,,,,,,,,23.2,,,,,,,,,,26.8,,,,,,,,,,,29.1,,,,,,,,,,,
Gibraltar,GIB,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,25.9,,,,,,,,,,,24.8,,,,,,,,,,26.3,,,,,,,,,,29.3,,,,,,,,,,,31.8,,,,,,,,,,,
Gibraltar,GIB,Age dependency ratio (% of working-age population),SP.POP.DPND,52.092764120064075,51.070589860477966,51.04109961894393,51.454436530653005,51.49447693307343,51.69303093831395,52.09059233449478,52.341513915108706,52.376980817347786,52.39206534422404,52.63610315186247,53.29626687847499,53.960284328105615,54.29483946881829,54.417491932791805,54.18689320388349,53.87223802231459,53.79598934840498,53.657087294727745,53.307580878802504,52.748774770935434,52.15480728504871,52.13941926270693,52.615923939023745,52.9421187526698,52.97778731623565,52.78856526429342,52.43055555555556,51.99279318628521,51.24924496183625,50.12694557898223,49.217796516143345,49.22274039529203,49.96122313317084,50.76659102230586,51.354489164086694,51.59671281231041,51.808024657383456,52.09570957095709,52.27097767513472,52.213799165018685,51.70030715225976,51.53264006097893,51.99978496935813,52.40420337543785,52.717846669459576,52.4128341144358,51.54545454545455,50.810730401150394,50.53233053330729,51.24878993223621,52.172450254734215,52.73472891135378,53.42044217203996,54.22541831171272,54.99159506910721,55.4354853606724,55.5646406832016,55.51490273067999,55.30080945088602,55.00278527659938,54.787502099781626,54.689042448173744,54.47098976109215
Gibraltar,GIB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,185.5,202.5,226.5,240.5,243.0,249.5,256.5,261.0,262.5,262.5,276.0,280.5,271.0,269.0,266.5,258.0,257.5,255.0,247.5,244.0,237.0,239.5,252.0,249.5,233.0,220.5,208.5,195.5,187.0,178.0,168.0,174.5,198.0,206.5,200.0,191.0,184.0,180.5,168.0,158.0,158.0,122.0,137.0,188.0,194.0,199.5,191.0,184.5,189.0,192.0,203.5,195.0,185.5,202.5,207.5,207.5,201.5,197.0,201.0,204.5,208.5,213.0,219.0,226.0
Gibraltar,GIB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,217.5,213.0,232.0,256.5,263.0,269.5,267.5,264.5,258.5,255.5,257.0,275.5,292.0,283.0,278.0,275.5,277.5,279.0,272.0,269.5,268.0,256.5,261.5,267.5,253.0,238.0,221.0,208.0,205.5,195.0,175.0,177.0,209.0,226.5,219.5,210.5,202.0,197.5,191.0,183.5,169.0,124.5,145.5,200.0,198.5,200.5,198.5,195.5,196.0,197.0,199.0,201.5,207.0,215.0,221.5,222.0,215.5,211.0,214.5,217.5,221.5,226.0,232.0,239.5
