Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Latin America & Caribbean (IDA & IBRD),TLA,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23282,93.77321,94.34374,94.44062,94.67303,94.69566,94.44301,95.67673,94.80584,95.12008,96.36277,96.52521,96.23953,96.20151,96.20697,95.56878,95.41674,95.61743,95.65156,95.74658,94.98276,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.80819,93.46285,94.07656,93.94328,93.90786,93.96035,94.08019,95.76834,94.93191,95.53679,96.39287,96.85902,96.57612,96.41252,96.43786,95.923,95.70057,95.89978,95.92084,96.0188,95.3625,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.64362,94.07189,94.60166,94.92239,95.41513,95.40523,94.79199,95.58874,94.685,94.72087,96.34873,96.20583,95.91546,95.9985,95.98589,95.229,95.14416,95.34644,95.394,95.4855,94.61798,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,105.5294562839068,104.76344315876284,103.9975599443514,103.04963672770648,101.6210710404838,99.65001000017782,97.95679705003052,96.6236435374594,95.73065958625187,95.28298274298444,95.5390622479431,96.20545927651992,97.09415263182105,97.6507134622742,97.68632496694602,97.532342973547,97.39247918671754,96.7639868588138,95.90797320991553,94.96839406895364,93.97893795743022,93.15601981403437,91.98824257586948,91.06137925058373,89.5375585035072,89.40288966236133,90.09750990724572,90.16868787831476,90.30343510354584,90.00572745538356,89.59326307690479,89.16258967037442,88.27156498979149,88.02750354011184,87.43566946991731,86.89097166361898,86.34656514511347,85.73977355020035,85.30131818345053,84.65658674047872,83.6755320965885,82.30490809904293,80.47305833856508,78.4708679221419,77.66967935204082,77.13284967301794,76.24633838808042,75.74748259155497,75.37305385857309,74.77627621748844,73.80785197491784,73.66063532083798,73.31948951689083,72.17676482582401,70.36414857399194,67.67631137217498,64.48766873795323,62.462243998902416,60.408854143037345,57.93425269668297,55.01985135056727,53.498805196608814,51.90445145977686,
Latin America & Caribbean (IDA & IBRD),TLA,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Age dependency ratio (% of working-age population),SP.POP.DPND,87.94635264395896,88.53027054303614,89.00405321993338,89.32856104364755,89.46064297566777,89.44366425882002,89.31524948211973,89.04940910510715,88.66112013984129,88.17180415542262,87.5925119944434,86.95155006300396,86.2554861955278,85.49820471386849,84.68247621438528,83.823882572908,82.95160410090875,82.05817262001774,81.14192259220582,80.21446651488102,79.28588504019136,78.31417270470378,77.34181099709849,76.43291149766351,75.56034217275413,74.71727219406056,73.9007889099745,73.08890418804305,72.27325599404101,71.4570764831218,70.58232893062697,69.66417666116624,68.7424130294078,67.82738312231481,66.92547935437327,66.01555684638247,65.09003196857824,64.150752218896,63.20556029874701,62.26720499901185,61.34987326363743,60.44738418258506,59.554305696877314,58.668282543306354,57.790274699029794,56.93210836278486,56.09372009032698,55.274767117219426,54.47959612718471,53.72327442787691,53.00984238643351,52.35716704758136,51.77667178546316,51.24825837344019,50.78374136491506,50.37772232262267,49.99500624356221,49.65281198608917,49.3848297908743,49.159776613907454,48.87876953663646,48.54834246574991,48.267353497081736,48.062226839005014
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,42.47781484520519,42.16373574089527,41.816771110011,41.39671652756655,40.853042020991985,40.16663206949652,39.484461386493145,38.75912548362586,38.057881037932205,37.50599067648315,37.00000341916539,36.50567989540381,36.092327298465634,35.7049736868134,35.21232906361328,34.824287500109875,34.50173040084993,34.14487188036967,33.80955720715525,33.337195988553766,32.84540158429425,32.39997043568175,31.888164028932135,31.350037390400452,30.81098828743424,30.2889583179412,29.741510041343368,29.160016709015792,28.539832167594135,28.022880243620698,27.469756881278457,26.9525794868498,26.39228277840719,25.96754088324493,25.476911343550334,24.99121724849478,24.44087154146149,23.91661412788347,23.440811108924972,22.969589967207497,22.45628981679568,21.93168607877384,21.387589180383248,20.83907071135897,20.5129888458049,20.178399228494353,19.786270985712097,19.410297380655475,19.06871824953414,18.828093889323437,18.582162027751803,18.365163805462306,18.045724359354047,17.755388931600876,17.524718479006598,17.239071412400346,16.736664981089373,16.492938979531598,16.1689014828372,15.675784607418338,15.273444490396278,14.949293097546803,14.72638408997591,
Latin America & Caribbean (IDA & IBRD),TLA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.80730844831162,,,,,,,,,,86.2281756756721,,,,,,,,,,91.80666391577532,,,,,,,,,94.56915447508224,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Borrowed any money (% age 15+),borrow.any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Borrowed any money from a formal financial institution or using a mobile money account (% age 15+),fin22a.c.MM.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed any money from a formal financial institution or using a mobile money account, female (% age 15+)",fin22a.c.MM.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed any money from a formal financial institution or using a mobile money account, male (% age 15+)",fin22a.c.MM.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed any money, female (% age 15+)",borrow.any.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed any money, male (% age 15+)",borrow.any.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Borrowed for education or school fees (% age 15+),fin22a.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed for education or school fees, female (% age 15+)",fin22a.2014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed for education or school fees, male (% age 15+)",fin22a.2014.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Borrowed for health or medical purposes (% age 15+),fin20.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed for health or medical purposes, female (% age 15+)",fin20.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed for health or medical purposes, male (% age 15+)",fin20.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Borrowed from a formal financial institution (% age 15+),fin22a.c.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed from a formal financial institution, female (% age 15+)",fin22a.c.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,"Borrowed from a formal financial institution, male (% age 15+)",fin22a.c.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (IDA & IBRD),TLA,Borrowed from a savings club (% age 15+),fin22c.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
