Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Macao SAR, China",MAC,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.26463,,85.43809,,,,,,,87.52764,86.66079,84.33981,84.90325,84.95148,85.38228,85.54091,85.22112,86.24522,86.09209,84.5324,83.85307,84.6512,85.58427,87.17839,90.94936,94.22006,96.77011,96.80779,96.4155,,,,,
"Macao SAR, China",MAC,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.59976,,85.30534,,,,,,,87.98374,86.79958,84.52131,84.46863,84.70729,84.61418,84.84346,85.43398,86.15627,86.03832,85.11103,84.89596,85.63038,86.55914,88.30165,91.84989,94.39776,97.03167,96.965,96.42685,,,,,
"Macao SAR, China",MAC,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.95119,,85.56491,,,,,,,87.09842,86.53075,84.17129,85.31091,85.18137,86.10443,86.19316,85.02352,86.32794,86.14204,83.99595,82.88685,83.74358,84.67917,86.13338,90.11025,94.05431,96.52613,96.66092,96.40487,,,,,
"Macao SAR, China",MAC,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,12.857,11.602,11.799,9.606,9.011,6.299,5.851,5.237,4.561,4.13,4.166,4.617,4.992,5.545,5.321,5.829,5.927,6.657,6.956,7.203,8.234,9.463,9.839,9.696,8.895,8.147,7.449,6.899,5.991,6.643,7.687,8.349,8.603,7.797,6.784,6.281,5.681,5.386,5.332,5.229,4.771,4.293,3.669,3.396,3.167,3.271,3.418,3.394,3.245,3.172,3.163,3.265,3.251,2.908,2.729,2.276,2.011,1.616,1.349,1.318,1.096,0.814,0.473,
"Macao SAR, China",MAC,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,25.6,,,,,,,,,,,26.9,,,,,,,,,,26.4,,,,,,,,,,27.9,,,,,28.0,,,,,30.3,,,,,,,,,,,,
"Macao SAR, China",MAC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,29.0,,,,,,,,,,,29.6,,,,,,,,,,28.1,,,,,,,,,,29.5,,,,,29.8,,,,,32.7,,,,,,,,,,,,
"Macao SAR, China",MAC,Age dependency ratio (% of working-age population),SP.POP.DPND,82.84381989281344,84.44111011790746,83.82854661621487,82.15321532153216,116.4773599386032,141.2962710632693,124.70602310795104,109.81888203161508,97.0180034983463,86.18079458608015,78.9678980413425,70.24849122951892,56.721667945766185,91.8275763992036,174.5084389870933,139.3897671426992,112.6805445222792,91.90371450460914,75.81628638867033,63.17808751396241,53.250797751587506,48.115878893487256,47.0882815027032,46.87755658576493,46.73687487030504,46.61797974583605,46.55722934807899,46.63646485933699,44.996030963076485,43.59096671039323,43.93884049625488,44.44325780852078,45.39207538886102,46.36433284164065,46.910728037438545,47.11485238194509,47.03121623967045,46.55732523223348,45.66438897186397,44.37677135164898,42.67741112462268,40.62505063992663,38.36069091976405,36.01145488718346,33.65313674829296,31.458031988583834,29.554803058002328,27.896641638962684,26.50054161041951,25.413454167828988,24.55177596452246,24.13886567433876,24.558594521088764,25.509492214751155,26.581247569464946,27.683407115236808,28.730470946371184,29.83658291900031,31.203429722937965,32.85910015638623,34.560753571631906,35.947509322114925,37.01955659314316,38.07207888891601
"Macao SAR, China",MAC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1926.5,2195.5,2372.5,2253.0,4205.5,4202.0,2160.5,2059.5,1914.5,1703.0,1562.0,1068.0,704.0,7888.0,7765.0,703.0,948.5,1156.5,1315.0,1407.0,1405.5,1669.0,2110.5,2378.5,2627.5,2886.5,3131.5,3304.0,3365.0,3304.0,3028.5,2897.0,3066.0,3063.0,2888.0,2740.5,2594.0,2420.5,2230.5,2071.0,1868.0,1701.5,1749.0,1852.5,1924.5,2006.0,2141.0,2292.5,2348.0,2344.0,2315.5,2486.0,2862.0,3054.0,3129.5,3227.5,3297.5,3270.0,3175.0,3169.0,3085.0,2780.5,2421.5,2259.0
