Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
OECD members,OED,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.76,,,93.76,,,94.46,,,,97.19,,
OECD members,OED,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.16,,,93.51,,,93.84,,,,97.68,,
OECD members,OED,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.52,,,94.02,,,95.12,,,,96.69,,
OECD members,OED,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.42287,96.24698,96.21437,96.45992,96.05889,96.16891,96.26352,96.80265,96.8708,97.17308,97.17988,96.69319,96.55159,96.11001,96.27315,96.40964,96.53197,96.73227,97.04555,97.04347,96.6326,,,,,
OECD members,OED,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.04668,95.92177,95.8974,96.28314,95.7684,95.94636,96.11429,96.67265,96.86118,97.07247,97.03801,96.7986,96.53372,96.27163,96.23532,96.36372,96.64467,,97.07888,97.12684,96.71011,,,,,
OECD members,OED,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.84749,96.6032,96.55641,96.67154,96.37194,96.42671,96.44176,96.96429,96.91029,97.30129,97.34802,96.62688,96.60871,95.99976,96.34173,96.47323,96.44549,,97.04374,96.97163,96.57552,,,,,
OECD members,OED,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,53.37423941636598,53.911560071250896,51.93601044114965,50.07303299016036,49.15095813637523,49.435753373801965,50.741589106637115,50.68309231983942,50.821194902032815,51.4390649468546,52.218689491606874,52.31935772380984,51.7698686965859,51.11606448694968,50.65803803743933,49.394153472614214,48.178834394787714,47.2870881556311,46.45001498699809,46.28095316754798,45.763344672592936,44.82518687298504,44.12378601331205,42.57856388282381,41.2325497564311,40.06400444556752,39.12785845911022,38.49677463717912,38.63741245623043,38.74953298885917,39.69087633210742,39.969074655696154,39.12323070722069,38.6300167478608,37.958651309572794,37.023361845606054,36.477591312396285,35.94884486777078,35.9379732876593,35.93094196814809,35.56999790875331,34.84832962407008,33.95701016050088,33.246037361004426,32.960239708838735,32.67921839139543,32.810508608202994,33.06376529931244,33.23704754564845,32.742520283171096,31.44760033510166,30.37255471201289,29.61834457276056,28.260261337038916,26.718786475099115,24.84588250980086,23.439073226502607,22.315853833347955,21.363629756427223,20.61391319362535,19.54443590685321,18.67841671355274,18.05653335349999,
OECD members,OED,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,Age dependency ratio (% of working-age population),SP.POP.DPND,63.23777399505653,63.63303421748011,63.58506728657619,63.448660057368656,63.41725774200661,63.468182670279546,63.46821185492917,63.40927370699343,63.30275313592077,63.10645484345274,62.871713068327054,62.57648466569203,62.23220226828417,61.79725547479106,61.30337304621344,60.76316072170709,60.158164962757866,59.56450087684168,58.98269551299289,58.36864556261552,57.70079810603784,56.96957011206545,56.19802865945282,55.3949747151706,54.679695288378085,54.13477575668386,53.685436318785975,53.30452146733462,53.03654700759368,52.82530217942499,52.62545366034945,52.45810514970646,52.328442896495936,52.213958933335306,52.10433601246612,51.91346668540361,51.65849840585976,51.4263836728718,51.19182526098674,50.98377997336449,50.81551900213869,50.66656235852282,50.51935925209124,50.35912670744378,50.22150305838803,50.11681074939356,50.045923552372905,50.01849061795788,50.05583209271437,50.13116423796082,50.18142132408596,50.37861479675255,50.80701057120855,51.288404846881406,51.74017749571458,52.13143251221417,52.491278099873725,52.85453718792562,53.18741408230894,53.52273524940788,53.858333214203455,54.1540927844891,54.3901312979612,54.62652611238485
OECD members,OED,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.475500757590968,23.36381854039878,23.057548925830012,22.927552392017898,22.80525617224323,22.13622143624157,21.09963728282235,21.26771940530476,20.8948707715388,20.7631722742978,20.68322620298217,20.40327311998775,19.621947368565507,19.165482128948412,18.92326637574339,18.377351230113135,18.04604230411545,17.860831319921633,17.57750728513495,17.633118660023534,17.497498749308875,17.199700802024477,17.065610785837315,16.736763066337133,16.50092326861892,16.38241116117771,16.13169227180894,15.999656402609425,15.98158083399264,15.875027994690232,15.892982534049592,15.653125127870693,15.393937970818286,15.072777442185313,14.816397598937105,14.460544038503542,14.333934746772812,14.116050945329532,13.973300039782655,13.797886344557307,13.79900033887043,13.507682653736149,13.242800808103445,13.161161575497522,13.09054940628884,12.962505461064026,13.092597048067171,13.12317919720345,13.087661363603887,12.816417543060314,12.673057105971129,12.453209197329326,12.363272966743716,12.120875922898335,12.105203595718452,11.954273411841898,11.812431988185567,11.506962168224351,11.225835612182,10.907759900012078,10.563103376480692,10.522418363805109,10.253957374016624,
OECD members,OED,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.41048704228304,,,,,,,,,,97.7775772148232,,,,,,,,,98.27043760361724,,,,
OECD members,OED,Borrowed any money (% age 15+),borrow.any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,,,65.04,,,,65.33,,
OECD members,OED,Borrowed any money from a formal financial institution or using a mobile money account (% age 15+),fin22a.c.MM.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.88,,
OECD members,OED,"Borrowed any money from a formal financial institution or using a mobile money account, female (% age 15+)",fin22a.c.MM.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.13,,
OECD members,OED,"Borrowed any money from a formal financial institution or using a mobile money account, male (% age 15+)",fin22a.c.MM.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.65,,
OECD members,OED,"Borrowed any money, female (% age 15+)",borrow.any.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.42,,,63.44,,,,64.34,,
OECD members,OED,"Borrowed any money, male (% age 15+)",borrow.any.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.83,,,66.75,,,,66.35,,
OECD members,OED,Borrowed for education or school fees (% age 15+),fin22a.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,,,,,,,,,
OECD members,OED,"Borrowed for education or school fees, female (% age 15+)",fin22a.2014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,,,,,,,,,
OECD members,OED,"Borrowed for education or school fees, male (% age 15+)",fin22a.2014.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04,,,,,,,,,
OECD members,OED,Borrowed for health or medical purposes (% age 15+),fin20.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,4.4,,,,5.21,,
OECD members,OED,"Borrowed for health or medical purposes, female (% age 15+)",fin20.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,3.92,,,,5.47,,
OECD members,OED,"Borrowed for health or medical purposes, male (% age 15+)",fin20.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,,,4.91,,,,4.95,,
OECD members,OED,Borrowed from a formal financial institution (% age 15+),fin22a.c.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11,,,53.02,,,56.32,,,,56.88,,
OECD members,OED,"Borrowed from a formal financial institution, female (% age 15+)",fin22a.c.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24,,,51.74,,,54.17,,,,56.13,,
OECD members,OED,"Borrowed from a formal financial institution, male (% age 15+)",fin22a.c.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15,,,54.36,,,58.62,,,,57.65,,
OECD members,OED,Borrowed from a savings club (% age 15+),fin22c.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Borrowed from a savings club, female (% age 15+)",fin22c.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Borrowed from a savings club, male (% age 15+)",fin22c.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
