Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Other small states,OSS,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026979330998155,0.0345479826132705,1.0123950752134114,1.9838698684599132,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0571871700105596,0.0920360394417666,1.067985902384694,2.029090854814395,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.74543,81.15366,82.1776,82.48579,82.45751,82.8545,83.69443,84.41358,84.58337,84.55051,84.53766,84.83424,85.16929,85.9297,85.59986,,,,,
Other small states,OSS,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.39844,82.47739,82.8534,83.01342,83.38758,84.14722,84.70037,85.0416,85.06345,85.12527,85.46628,85.81034,86.5754,86.29794,,,,,
Other small states,OSS,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07576,82.10334,82.32943,82.1452,82.55051,83.41086,84.25056,84.28004,84.20287,84.14421,84.36806,84.66268,85.43805,85.04268,,,,,
Other small states,OSS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,77.85601804355453,76.80381864932733,74.46169974701883,73.2089509175981,70.67860587718192,69.24795434743092,70.27467495096083,69.66441085929341,71.05642468744917,70.5003937166223,70.13173272914635,69.37862447850607,69.74480982522499,68.76011148445623,70.91092380837709,71.30262474567637,72.27904326860455,72.18903575134219,72.77921535598854,73.16374696041431,73.0337786727601,73.29665946383795,73.12546546179884,73.36908429172219,73.02026525999196,71.67637311049039,70.42932770936712,69.62703660727247,68.31880121321882,68.15101585418233,68.44891640642105,67.44163696339412,66.20385446097332,63.569565650436424,60.569446527236735,58.01532336517025,56.24353113022949,53.81358792012905,52.984914340398035,52.24364591488083,52.00420817602671,50.50386892733932,48.865964381734464,47.60097563019036,46.95447256057511,45.66651657383131,44.03402517452872,43.27324370872807,42.467835705698896,41.51121637645947,39.993062598524205,38.96216087457497,37.74166877345211,36.390295327846054,34.88234630716786,33.368851571196174,32.35685093857912,31.353768464137655,30.428931161301787,29.391905180946097,28.58833591310774,27.980639020078,27.53767399592407,
Other small states,OSS,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,Age dependency ratio (% of working-age population),SP.POP.DPND,74.65975285571626,75.04164509211523,75.34142893833989,75.48485631348319,75.43873685800163,75.36726034817494,75.31941542782245,75.2100075211226,75.00672728525649,74.68404843513763,74.26698157947109,73.83278821672671,73.40487068844146,72.85697387821682,72.30940443558652,71.8353328401386,71.35331346357992,70.87697778100241,70.42153026882934,70.03255073453394,69.72747901209398,69.5116222113157,69.35644188697142,69.26581777282085,69.20838709243458,69.19676569095071,69.28047161669315,69.40010104748792,69.44498790954353,69.49784301024422,69.59917229747892,69.61833224202047,69.46507456836781,69.34744751167604,69.43484218824354,69.25785173076588,68.586885537175,67.65981464769526,66.50944951387982,64.98373455073542,63.55599807655042,62.54070714591026,61.5089370894834,60.46529249240058,59.36452849306563,58.33833979398869,57.4137220844372,56.45496721081509,55.51141547538488,54.63904872279367,54.010596396899146,53.67729461514627,53.27597851495857,52.98550393242574,52.803614657592995,52.50990342672362,52.11528162696273,51.65402548163045,51.317819500161086,51.07963638773548,50.802594727820136,50.36680017118031,49.98875046342227,49.68356819124946
Other small states,OSS,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
