Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
St. Martin (French part),MAF,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,71.651,69.313,67.446,65.952,65.52,65.258,66.382,68.936,73.044,76.892,78.316,78.716,78.709,78.428,77.846,77.224,76.284,75.826,74.712,71.91,66.782,57.751,49.238,43.564,38.894,33.088,25.168,29.582,32.827,34.779,35.297,35.292,34.534,34.249,34.682,35.308,36.028,36.999,38.315,39.588,40.517,40.047,38.469,36.656,33.85,32.202,30.145,28.329,26.909,25.848,25.24,26.868,27.519,22.515,18.717,18.338,17.886,16.197,14.463,14.9,16.251,15.065,14.656,
St. Martin (French part),MAF,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Age dependency ratio (% of working-age population),SP.POP.DPND,101.32638559924207,102.16689718764408,102.77653381101656,103.17391304347828,102.55979857322704,100.20032051282053,96.8655589123867,93.69911504424778,92.6565143824027,93.0898321816387,93.41221618164374,93.65671641791045,93.74244256348248,93.885949441505,93.76068376068376,91.77111716621252,88.41589267285862,85.15166340508806,81.78015338136184,78.03047030249503,73.78905430907948,69.20167230738602,61.57249829816202,53.5633106030218,48.1445523193096,44.90457328051855,43.028901734104046,42.17013538088503,42.02846549455806,42.13637096340874,43.33451830785638,45.550108657199175,47.53183501598093,49.09368635437882,50.21194014605995,50.88060618472251,51.03359835855347,50.68345323741007,49.79157017137564,49.14693149987268,49.10771983894219,49.16222760290557,49.29145016532829,49.51308441408594,49.817081432636286,50.07077140835102,50.158138728824575,50.01273560876209,49.557043630162624,48.76309247259241,48.52307072335281,49.17702925671053,49.93162255651195,50.41402041964788,50.44389989153577,50.41661635068229,50.56093313353044,50.342829156803525,51.41271442986882,57.10618008435724,60.05841180321265,58.613022763366864,59.51157522515056,62.1677373725467
St. Martin (French part),MAF,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,80.0,82.0,83.5,85.0,87.0,89.0,92.5,99.0,106.5,111.0,113.0,115.0,116.5,117.5,118.0,115.5,112.5,111.0,108.5,105.5,102.5,99.5,116.0,154.5,194.5,233.0,270.0,305.0,335.5,357.0,395.0,420.5,404.5,382.0,359.5,335.0,308.0,278.0,242.5,285.0,359.5,371.5,370.5,368.5,364.0,355.0,341.0,321.5,294.0,258.5,290.5,345.5,351.0,324.0,296.0,315.0,317.5,280.5,253.5,209.0,182.0,192.0,183.5,196.0
St. Martin (French part),MAF,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,81.5,83.0,85.0,87.0,89.0,91.0,94.5,101.0,108.5,113.0,115.0,117.0,119.0,120.5,121.0,119.5,117.5,116.0,114.0,112.0,109.0,104.0,119.0,157.0,196.5,235.5,274.0,311.0,345.5,372.5,411.5,434.0,416.0,392.5,370.0,347.5,324.5,300.5,273.5,312.5,375.5,382.5,377.5,372.5,366.0,356.5,344.0,328.0,307.0,279.5,309.5,356.0,353.0,335.0,330.0,343.0,328.5,285.5,257.0,214.5,187.0,197.0,188.0,201.5
St. Martin (French part),MAF,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,78.0,79.5,81.0,83.0,85.0,87.0,89.0,93.0,99.5,106.5,111.0,113.0,114.5,116.0,117.5,116.5,112.5,109.0,106.5,104.0,101.5,98.5,104.5,131.5,171.0,209.5,246.5,281.5,312.5,338.5,353.5,383.0,403.5,387.0,365.5,343.0,317.5,290.0,259.5,235.5,287.0,358.0,370.0,369.5,367.0,362.0,353.0,337.5,315.5,286.5,263.5,298.5,343.0,347.0,316.5,288.5,300.5,293.0,249.5,197.5,184.5,193.0,186.5,174.0
St. Martin (French part),MAF,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,79.5,80.5,82.0,84.0,86.0,88.0,90.0,93.5,100.0,107.5,112.0,114.0,116.0,118.0,119.5,118.5,115.5,114.0,112.5,109.5,107.0,104.0,107.5,132.0,170.5,209.0,246.0,282.0,316.5,346.5,365.5,395.0,412.5,394.5,372.0,350.5,328.5,305.5,282.0,265.5,312.0,372.0,378.5,373.5,368.5,362.0,352.0,338.5,321.0,298.5,284.5,317.0,351.0,345.0,323.5,316.0,322.5,302.5,254.5,202.0,190.0,198.0,192.0,178.5
St. Martin (French part),MAF,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,76.5,78.0,79.5,81.0,83.0,84.5,87.0,90.0,93.5,99.5,106.5,111.0,113.0,114.5,116.0,116.5,114.5,110.0,106.0,103.5,101.0,98.5,103.5,120.0,149.0,188.0,225.5,260.5,293.5,322.0,340.5,348.0,371.5,388.0,372.0,350.0,327.5,302.5,274.5,253.5,243.0,292.5,357.5,369.5,369.5,367.0,362.0,352.0,335.0,311.5,289.0,278.0,307.5,341.5,341.5,312.0,286.0,286.5,261.5,206.5,187.5,196.0,188.5,178.5
St. Martin (French part),MAF,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,77.5,79.0,80.5,82.0,83.5,85.0,88.0,91.0,94.0,100.0,107.5,112.0,114.0,116.0,118.0,119.0,116.5,113.0,111.5,109.5,106.5,104.0,107.5,120.5,148.0,186.0,223.5,259.5,293.0,324.0,347.0,358.5,381.5,394.5,377.0,355.5,334.0,312.5,290.5,276.0,271.5,316.5,370.5,376.0,371.5,366.0,359.0,349.0,335.0,316.5,305.0,303.5,326.0,348.0,338.0,314.5,305.0,303.5,270.5,214.0,190.0,202.0,198.5,184.0
St. Martin (French part),MAF,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,75.0,76.5,78.0,79.5,81.0,82.5,84.5,88.0,90.5,93.5,99.5,106.5,111.0,112.5,114.0,115.5,115.0,112.5,108.0,103.5,100.5,98.0,102.0,116.5,137.0,167.0,205.5,242.0,275.5,305.5,325.5,336.0,342.0,361.5,373.5,357.0,335.5,313.0,287.5,268.5,259.5,253.0,298.0,357.0,369.0,369.5,367.5,362.5,351.5,333.0,312.0,296.0,292.0,316.0,336.0,328.5,304.0,284.0,264.0,213.0,189.5,195.5,190.0,181.5
St. Martin (French part),MAF,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,75.5,77.0,78.5,80.0,82.0,83.5,85.5,88.5,91.0,94.0,100.0,107.5,112.0,114.0,116.0,118.0,118.0,115.0,111.5,109.5,107.5,104.0,107.5,120.0,136.5,164.5,201.0,237.0,272.5,305.0,328.0,342.0,350.0,368.5,378.0,360.5,339.0,318.0,297.5,284.0,281.0,280.5,321.5,369.5,373.5,369.5,364.5,357.0,346.5,331.0,321.0,321.0,322.5,335.0,343.0,327.5,304.5,294.0,275.0,222.0,195.5,197.0,196.5,191.0
St. Martin (French part),MAF,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,73.5,75.0,76.5,78.0,79.5,81.0,83.0,85.5,88.0,90.0,93.5,99.5,106.5,111.0,112.5,114.0,115.0,113.5,110.5,106.0,101.0,97.5,101.0,113.5,131.5,154.0,185.0,223.0,258.5,290.5,311.5,322.0,330.0,335.5,351.5,358.5,341.0,320.5,298.5,281.0,273.0,267.0,262.5,303.5,356.5,368.0,369.5,368.5,363.0,351.0,332.0,313.5,303.0,306.5,321.5,324.0,312.5,296.0,268.5,219.0,192.0,196.0,190.0,183.0
St. Martin (French part),MAF,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,74.0,75.5,77.0,78.5,80.0,81.5,83.5,86.5,89.0,91.0,93.5,99.0,107.0,112.0,114.0,115.5,117.0,117.0,114.0,110.0,107.5,105.5,107.0,117.5,133.5,152.5,181.5,217.0,251.5,285.5,310.0,324.0,335.0,341.5,356.0,361.5,344.0,323.0,302.5,290.5,287.5,287.5,289.0,326.5,368.5,371.5,367.5,362.5,355.0,343.5,333.5,332.5,336.5,341.0,342.5,334.5,315.5,295.0,272.5,227.0,199.5,201.0,191.5,189.5
St. Martin (French part),MAF,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,72.0,73.5,75.0,76.5,78.0,79.5,81.5,84.0,86.0,88.0,90.0,93.5,99.5,106.5,111.0,113.0,114.5,114.5,112.0,108.0,103.5,98.5,100.0,111.0,126.5,146.5,171.0,203.0,240.5,275.0,298.0,309.0,317.5,324.5,329.0,341.0,344.0,326.0,306.0,292.0,284.5,279.5,275.0,272.5,309.0,355.5,367.0,370.0,369.5,363.5,349.0,329.5,315.0,310.0,313.5,316.0,308.5,296.5,272.5,224.0,200.0,201.5,192.5,184.0
St. Martin (French part),MAF,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,72.5,74.0,75.5,77.0,78.5,80.0,82.0,84.5,87.0,89.0,90.5,93.0,99.0,107.0,112.0,114.0,115.5,117.0,116.5,113.0,108.0,105.0,108.0,116.0,128.5,146.5,168.5,198.5,233.0,266.0,292.0,307.0,318.5,328.5,333.5,343.5,344.5,326.5,306.5,294.0,292.0,292.5,294.5,298.0,331.5,367.5,369.5,366.0,361.0,353.0,345.0,340.5,344.0,352.5,353.0,341.0,324.0,303.5,273.5,227.5,204.0,203.0,194.0,184.5
