Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
St. Vincent and the Grenadines,VCT,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Vincent and the Grenadines,VCT,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Vincent and the Grenadines,VCT,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Vincent and the Grenadines,VCT,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,93.68442,,96.97578,,,,,,,,99.48393,,,,,,98.18763,,99.00392,99.40047,99.32057,98.2209,,98.75979,98.18082,99.28309,99.46461,99.23347,99.68904,96.87636,,97.95395,97.41197,98.49428,,,,,,
St. Vincent and the Grenadines,VCT,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,93.66275,,97.05729,,,,,,,,,,,,,,,,,,,96.83536,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,93.70567,,96.89599,,,,,,,,,,,,,,,,,,,99.58066,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,195.125,187.6,181.422,170.705,168.394,166.74,165.871,165.597,162.677,158.286,153.879,149.795,146.53,142.474,139.287,135.455,131.827,128.924,129.039,129.196,129.604,136.162,141.974,139.093,130.986,118.447,107.005,101.93,98.608,95.058,92.388,90.236,87.795,85.9,85.574,82.525,78.368,76.696,73.67,73.542,74.729,74.035,74.328,72.357,69.594,68.195,65.821,65.352,66.564,68.471,66.966,64.109,64.686,64.05,64.473,61.413,58.779,56.256,54.48,53.182,50.299,44.54,43.553,
St. Vincent and the Grenadines,VCT,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,28.4,,,,,,,,,,28.2,,,,,,,,,,,30.9,,,,,,,,,,21.2,21.2,,,,,,,,,,21.2,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,32.7999999999999,,,,,,,,,,32.2,,,,,,,,,,,34.5,,,,,,,,,,27.8,27.8,,,,,,,,,,27.8,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,Age dependency ratio (% of working-age population),SP.POP.DPND,112.37165290920072,111.55978220700187,110.42018428288873,108.81770145310436,107.1481327609288,105.94084073201668,105.09324243031884,104.4300046100147,103.84856951031988,103.34131941473431,102.93949711337152,102.66532772652148,102.48472926804016,102.27710596433694,101.99241179215616,101.53580534420108,100.9292167179589,100.288654125594,99.59023556599928,98.65422642016549,96.5467164573196,93.2625809299588,90.15737434277818,87.7611992759354,85.87234189450427,84.25056460240104,82.77776848584188,81.39573233072788,80.14977614977616,79.0567070030896,77.91709762113136,76.1560920478448,73.7203736586119,71.34280720419484,69.317738791423,67.56243978359149,65.97314943877926,64.54624781849913,63.427383255840816,62.79564024871836,62.45224980327634,61.62477750088999,60.207773851590105,58.77655842151057,57.49979062561068,56.332545530376755,55.25079347479591,54.20670584168683,53.22449317563931,52.393297938357584,51.797399155139566,51.41935305195524,51.001249826412995,50.49127397222145,50.08304140905221,49.75777771554983,49.48975288858902,49.274563820018365,49.181772943769104,49.26418960551392,49.29051423297667,49.3515735052789,49.582233948988566,49.72219759434938
St. Vincent and the Grenadines,VCT,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1886.5,1897.5,1858.0,1824.0,1794.5,1771.0,1746.5,1712.0,1672.0,1638.0,1623.5,1629.5,1637.0,1631.0,1615.0,1597.5,1581.5,1570.0,1554.5,1513.5,1486.5,1485.5,1471.5,1451.0,1428.5,1397.0,1357.5,1319.0,1284.0,1255.0,1215.5,1202.0,1219.5,1214.0,1194.0,1170.0,1138.5,1114.0,1123.5,1189.0,1179.5,1068.5,1008.5,984.0,951.5,923.5,906.0,898.0,896.0,891.5,877.5,856.5,847.0,843.5,838.0,830.5,799.5,748.5,707.0,680.5,656.5,634.5,616.0,600.5
St. Vincent and the Grenadines,VCT,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1923.5,1946.0,1908.5,1878.0,1854.0,1834.0,1812.5,1784.0,1751.0,1726.5,1717.5,1722.0,1724.5,1712.0,1693.5,1675.5,1662.0,1653.5,1635.0,1577.0,1530.5,1525.5,1513.5,1496.0,1478.0,1454.5,1424.0,1391.5,1365.0,1351.0,1320.0,1283.5,1268.0,1252.0,1235.5,1219.0,1195.0,1178.5,1198.5,1280.5,1261.5,1116.5,1042.5,1017.5,985.5,960.0,942.5,931.5,926.5,922.0,909.5,885.0,871.0,863.5,858.0,852.0,823.0,773.5,729.5,702.5,676.0,652.5,635.5,620.0
St. Vincent and the Grenadines,VCT,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,1711.5,1748.5,1762.5,1732.0,1706.0,1685.0,1670.5,1653.0,1623.5,1587.5,1558.0,1550.0,1563.0,1577.0,1575.5,1562.5,1548.0,1535.5,1528.0,1517.0,1478.5,1453.0,1456.0,1446.5,1429.5,1410.0,1380.0,1340.5,1301.5,1266.5,1238.5,1200.0,1187.5,1206.0,1202.0,1183.5,1160.0,1127.5,1103.0,1116.5,1192.0,1175.5,1051.5,991.5,964.5,930.0,902.0,886.5,881.5,882.5,880.5,868.0,848.0,839.0,836.5,831.5,823.5,792.5,742.0,701.0,675.5,650.5,627.0,609.5
St. Vincent and the Grenadines,VCT,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,1718.5,1767.0,1793.0,1768.0,1750.0,1737.0,1726.5,1712.5,1689.0,1660.5,1642.0,1640.0,1651.0,1659.0,1651.5,1636.5,1621.5,1612.0,1608.0,1594.0,1538.5,1494.5,1493.5,1486.0,1473.5,1460.0,1439.0,1409.0,1376.5,1351.0,1339.5,1306.5,1266.5,1252.0,1238.5,1224.5,1209.5,1185.0,1169.5,1195.0,1288.0,1259.5,1099.0,1025.0,997.0,963.0,938.0,922.5,914.0,912.0,910.5,899.5,875.5,862.0,855.0,850.0,844.5,816.0,766.5,723.0,697.5,670.0,644.5,628.5
St. Vincent and the Grenadines,VCT,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,1613.0,1623.0,1660.0,1677.0,1654.0,1635.5,1621.5,1613.0,1600.5,1575.0,1542.0,1516.5,1513.5,1532.5,1551.5,1553.0,1542.5,1530.0,1519.5,1515.0,1503.5,1464.0,1440.5,1446.5,1441.5,1427.5,1409.0,1378.0,1336.0,1295.5,1260.0,1230.5,1193.5,1183.0,1201.0,1198.5,1182.0,1158.5,1124.0,1099.0,1117.0,1187.5,1160.0,1037.5,980.5,952.5,917.0,888.5,875.5,874.0,878.0,877.5,863.0,841.0,833.0,831.0,826.0,818.5,787.5,736.5,696.5,671.5,645.5,621.5
