Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Upper middle income,UMC,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56,,,70.93,,,72.35,,,,84.33,,
Upper middle income,UMC,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.32,,,68.23,,,68.65,,,,82.26,,
Upper middle income,UMC,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.93,,,73.68,,,76.18,,,,86.27,,
Upper middle income,UMC,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.59193,96.08692,96.21556,96.43963,95.54649,96.18362,96.65211,96.63315,96.27038,96.25452,96.24667,96.17663,96.22423,96.38323,96.26969,96.19291,96.12099,,,,,
Upper middle income,UMC,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.54437,95.814,96.233,95.42611,96.11333,96.54122,,96.31934,96.21342,96.1009,96.17293,,,96.31864,,96.22284,,,,,
Upper middle income,UMC,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.62015,,96.66679,95.70044,96.28648,96.80318,,96.26915,96.32862,96.42267,96.21951,,,96.26151,,96.0665,,,,,
Upper middle income,UMC,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,79.0619284980664,74.6445792930143,88.30262445041,96.53326609606872,88.00204483365772,83.8106520984717,77.49765156880865,69.65726923522482,72.6171180747049,68.87375366431563,67.29563410864749,63.91539000750791,60.85013304605229,59.10977519313904,57.95989375435901,56.84602843023721,57.496434740936515,55.39749420079417,51.52911578824921,48.141862154636954,46.09330955889112,46.81068121686501,50.51496250022329,50.743380435512165,51.14921520499902,50.28888432952797,49.65145622926697,50.06091592037228,49.114641899147834,48.269549155432166,46.236212439445694,44.180257645642435,42.78338892090569,41.82075762677626,39.65509526712445,39.48434395574159,38.14732394924045,36.67947974865368,34.9449230292056,34.81920388579815,34.03062226246717,32.89313112084553,31.890847200456538,31.15827628577738,30.046765722860854,29.846815887598428,30.73696344118316,31.374050899236735,33.04008595984581,34.10993017874036,34.71249812704555,35.499379845965706,36.232643518653155,35.9591311916147,35.585222940218316,33.966177887573366,32.373601854427676,30.904340667008025,29.101102527587997,27.782559453288687,25.833897678651073,24.872370757820576,23.84946878454614,
Upper middle income,UMC,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,Age dependency ratio (% of working-age population),SP.POP.DPND,79.74429356324812,79.33119246611167,79.61886701782551,80.96154968187477,82.19535877855031,82.77554115661009,82.98817942534403,82.63408302603747,82.23938481737275,82.06192966087826,81.6780476624132,81.30117500517198,80.68333132714315,80.05883151301855,79.90327359873923,79.87037096518824,79.75510965423852,78.7038361253949,76.287211062301,73.88008253781625,71.9012733818034,70.03363482698727,68.50909221082289,66.9109722477001,65.14959753638364,63.58641579720115,62.26376526272517,61.24739072712606,60.383846384051786,59.70671698498907,59.28855263294278,58.858853065974394,58.36525244985744,57.905878282435005,57.35103554829171,56.64634369125761,55.793817627526145,54.75597008452597,53.71331821633591,52.72313097366572,51.67684893593602,50.54832181294625,49.320920272869486,48.13214520228486,46.99766083170827,45.875110498962,44.993750868798735,44.415876971346165,43.97250941862387,43.63795750561267,43.40077124749277,43.28100464241002,43.33536344977014,43.51199404093456,43.78310153575706,44.13366744834627,44.55932442099585,45.10949176957857,45.6257579574572,46.05204328517859,46.378305591052325,46.50115170133727,46.54790823338422,46.4937288575926
