,ISO,country,year,sex,avg monthly earnings,local currency
0,ABW,Aruba,2010,T,3013.0,Florin (AWG)
1,ABW,Aruba,2010,T,1860.382,Florin (AWG)
2,ABW,Aruba,2010,T,1683.24,Florin (AWG)
3,ABW,Aruba,2010,M,3338.0,Florin (AWG)
4,ABW,Aruba,2010,M,2061.054,Florin (AWG)
5,ABW,Aruba,2010,M,1864.804,Florin (AWG)
6,ABW,Aruba,2010,F,2713.0,Florin (AWG)
7,ABW,Aruba,2010,F,1675.147,Florin (AWG)
8,ABW,Aruba,2010,F,1515.642,Florin (AWG)
9,AFG,Afghanistan,2020,T,13202.245,Afghani (AFN)
10,AFG,Afghanistan,2020,T,836.263,Afghani (AFN)
11,AFG,Afghanistan,2020,T,171.874,Afghani (AFN)
12,AFG,Afghanistan,2020,M,13439.387,Afghani (AFN)
13,AFG,Afghanistan,2020,M,851.284,Afghani (AFN)
14,AFG,Afghanistan,2020,M,174.961,Afghani (AFN)
15,AFG,Afghanistan,2020,F,10843.294,Afghani (AFN)
16,AFG,Afghanistan,2020,F,686.841,Afghani (AFN)
17,AFG,Afghanistan,2020,F,141.164,Afghani (AFN)
18,AFG,Afghanistan,2014,T,8848.569,Afghani (AFN)
19,AFG,Afghanistan,2014,T,517.709,Afghani (AFN)
20,AFG,Afghanistan,2014,T,154.567,Afghani (AFN)
21,AFG,Afghanistan,2014,M,9135.149,Afghani (AFN)
22,AFG,Afghanistan,2014,M,534.476,Afghani (AFN)
23,AFG,Afghanistan,2014,M,159.573,Afghani (AFN)
24,AFG,Afghanistan,2014,F,5517.315,Afghani (AFN)
25,AFG,Afghanistan,2014,F,322.805,Afghani (AFN)
26,AFG,Afghanistan,2014,F,96.376,Afghani (AFN)
27,AGO,Angola,2021,T,90678.796,Kwanza (AOA)
28,AGO,Angola,2021,T,445.183,Kwanza (AOA)
29,AGO,Angola,2021,T,143.606,Kwanza (AOA)
30,AGO,Angola,2021,M,99293.136,Kwanza (AOA)
31,AGO,Angola,2021,M,487.475,Kwanza (AOA)
32,AGO,Angola,2021,M,157.248,Kwanza (AOA)
33,AGO,Angola,2021,F,69497.802,Kwanza (AOA)
34,AGO,Angola,2021,F,341.196,Kwanza (AOA)
35,AGO,Angola,2021,F,110.062,Kwanza (AOA)
36,AGO,Angola,2019,T,82234.658,Kwanza (AOA)
37,AGO,Angola,2019,T,565.58,Kwanza (AOA)
38,AGO,Angola,2019,T,225.408,Kwanza (AOA)
39,AGO,Angola,2019,M,92241.63,Kwanza (AOA)
40,AGO,Angola,2019,M,634.404,Kwanza (AOA)
41,AGO,Angola,2019,M,252.838,Kwanza (AOA)
42,AGO,Angola,2019,F,58793.485,Kwanza (AOA)
43,AGO,Angola,2019,F,404.36,Kwanza (AOA)
44,AGO,Angola,2019,F,161.155,Kwanza (AOA)
45,ALB,Albania,2022,T,61898.0,Lek (ALL)
46,ALB,Albania,2022,T,1257.75,Lek (ALL)
47,ALB,Albania,2022,T,547.568,Lek (ALL)
48,ALB,Albania,2022,M,63773.0,Lek (ALL)
49,ALB,Albania,2022,M,1295.85,Lek (ALL)
