,country,year,wage,sex,ISO,currency,local_currency,break
0,Aruba,2010,3013.0,T,ABW,Local,Florin (AWG),False
1,Aruba,2010,1860.382,T,ABW,PPP,Florin (AWG),False
2,Aruba,2010,1683.24,T,ABW,USD,Florin (AWG),False
3,Aruba,2010,3338.0,M,ABW,Local,Florin (AWG),False
4,Aruba,2010,2061.054,M,ABW,PPP,Florin (AWG),False
5,Aruba,2010,1864.804,M,ABW,USD,Florin (AWG),False
6,Aruba,2010,2713.0,F,ABW,Local,Florin (AWG),False
7,Aruba,2010,1675.147,F,ABW,PPP,Florin (AWG),False
8,Aruba,2010,1515.642,F,ABW,USD,Florin (AWG),False
9,Afghanistan,2020,13202.245,T,AFG,Local,Afghani (AFN),True
10,Afghanistan,2020,836.263,T,AFG,PPP,Afghani (AFN),True
11,Afghanistan,2020,171.874,T,AFG,USD,Afghani (AFN),True
12,Afghanistan,2020,13439.387,M,AFG,Local,Afghani (AFN),True
13,Afghanistan,2020,851.284,M,AFG,PPP,Afghani (AFN),True
14,Afghanistan,2020,174.961,M,AFG,USD,Afghani (AFN),True
15,Afghanistan,2020,10843.294,F,AFG,Local,Afghani (AFN),True
16,Afghanistan,2020,686.841,F,AFG,PPP,Afghani (AFN),True
17,Afghanistan,2020,141.164,F,AFG,USD,Afghani (AFN),True
18,Afghanistan,2014,8848.569,T,AFG,Local,Afghani (AFN),False
19,Afghanistan,2014,517.709,T,AFG,PPP,Afghani (AFN),False
20,Afghanistan,2014,154.567,T,AFG,USD,Afghani (AFN),False
21,Afghanistan,2014,9135.149,M,AFG,Local,Afghani (AFN),False
22,Afghanistan,2014,534.476,M,AFG,PPP,Afghani (AFN),False
23,Afghanistan,2014,159.573,M,AFG,USD,Afghani (AFN),False
24,Afghanistan,2014,5517.315,F,AFG,Local,Afghani (AFN),False
25,Afghanistan,2014,322.805,F,AFG,PPP,Afghani (AFN),False
26,Afghanistan,2014,96.376,F,AFG,USD,Afghani (AFN),False
27,Angola,2021,90678.796,T,AGO,Local,Kwanza (AOA),False
28,Angola,2021,445.183,T,AGO,PPP,Kwanza (AOA),False
29,Angola,2021,143.606,T,AGO,USD,Kwanza (AOA),False
30,Angola,2021,99293.136,M,AGO,Local,Kwanza (AOA),False
31,Angola,2021,487.475,M,AGO,PPP,Kwanza (AOA),False
32,Angola,2021,157.248,M,AGO,USD,Kwanza (AOA),False
33,Angola,2021,69497.802,F,AGO,Local,Kwanza (AOA),False
34,Angola,2021,341.196,F,AGO,PPP,Kwanza (AOA),False
35,Angola,2021,110.062,F,AGO,USD,Kwanza (AOA),False
36,Angola,2019,82234.658,T,AGO,Local,Kwanza (AOA),True
37,Angola,2019,565.58,T,AGO,PPP,Kwanza (AOA),True
38,Angola,2019,225.408,T,AGO,USD,Kwanza (AOA),True
39,Angola,2019,92241.63,M,AGO,Local,Kwanza (AOA),True
40,Angola,2019,634.404,M,AGO,PPP,Kwanza (AOA),True
41,Angola,2019,252.838,M,AGO,USD,Kwanza (AOA),True
42,Angola,2019,58793.485,F,AGO,Local,Kwanza (AOA),True
43,Angola,2019,404.36,F,AGO,PPP,Kwanza (AOA),True
44,Angola,2019,161.155,F,AGO,USD,Kwanza (AOA),True
45,Albania,2022,61898.0,T,ALB,Local,Lek (ALL),False
46,Albania,2022,1257.75,T,ALB,PPP,Lek (ALL),False
47,Albania,2022,547.568,T,ALB,USD,Lek (ALL),False
48,Albania,2022,63773.0,M,ALB,Local,Lek (ALL),False
49,Albania,2022,1295.85,M,ALB,PPP,Lek (ALL),False
50,Albania,2022,564.155,M,ALB,USD,Lek (ALL),False
51,Albania,2022,59813.0,F,ALB,Local,Lek (ALL),False
52,Albania,2022,1215.383,F,ALB,PPP,Lek (ALL),False
53,Albania,2022,529.124,F,ALB,USD,Lek (ALL),False
54,Albania,2021,57191.0,T,ALB,Local,Lek (ALL),False
55,Albania,2021,1094.765,T,ALB,PPP,Lek (ALL),False
56,Albania,2021,552.463,T,ALB,USD,Lek (ALL),False
57,Albania,2021,58413.0,M,ALB,Local,Lek (ALL),False
58,Albania,2021,1118.157,M,ALB,PPP,Lek (ALL),False
59,Albania,2021,564.268,M,ALB,USD,Lek (ALL),False
60,Albania,2021,55760.0,F,ALB,Local,Lek (ALL),False
61,Albania,2021,1067.372,F,ALB,PPP,Lek (ALL),False
62,Albania,2021,538.64,F,ALB,USD,Lek (ALL),False
63,Albania,2020,53662.0,T,ALB,Local,Lek (ALL),False
64,Albania,2020,1039.429,T,ALB,PPP,Lek (ALL),False
65,Albania,2020,493.898,T,ALB,USD,Lek (ALL),False
66,Albania,2020,55317.0,M,ALB,Local,Lek (ALL),False
67,Albania,2020,1071.486,M,ALB,PPP,Lek (ALL),False
68,Albania,2020,509.13,M,ALB,USD,Lek (ALL),False
69,Albania,2020,51679.0,F,ALB,Local,Lek (ALL),False
70,Albania,2020,1001.019,F,ALB,PPP,Lek (ALL),False
71,Albania,2020,475.647,F,ALB,USD,Lek (ALL),False
72,Albania,2019,52380.0,T,ALB,Local,Lek (ALL),False
73,Albania,2019,1026.797,T,ALB,PPP,Lek (ALL),False
74,Albania,2019,476.828,T,ALB,USD,Lek (ALL),False
75,Albania,2019,54940.0,M,ALB,Local,Lek (ALL),False
76,Albania,2019,1076.98,M,ALB,PPP,Lek (ALL),False
77,Albania,2019,500.133,M,ALB,USD,Lek (ALL),False
78,Albania,2019,49411.0,F,ALB,Local,Lek (ALL),False
79,Albania,2019,968.596,F,ALB,PPP,Lek (ALL),False
80,Albania,2019,449.801,F,ALB,USD,Lek (ALL),False
81,Albania,2018,50589.0,T,ALB,Local,Lek (ALL),False
82,Albania,2018,961.066,T,ALB,PPP,Lek (ALL),False
83,Albania,2018,468.464,T,ALB,USD,Lek (ALL),False
84,Albania,2018,53181.0,M,ALB,Local,Lek (ALL),False
85,Albania,2018,1010.308,M,ALB,PPP,Lek (ALL),False
86,Albania,2018,492.466,M,ALB,USD,Lek (ALL),False
87,Albania,2018,47490.0,F,ALB,Local,Lek (ALL),False
88,Albania,2018,902.193,F,ALB,PPP,Lek (ALL),False
89,Albania,2018,439.766,F,ALB,USD,Lek (ALL),False
90,Albania,2017,48966.821,T,ALB,Local,Lek (ALL),False
91,Albania,2017,928.01,T,ALB,PPP,Lek (ALL),False
92,Albania,2017,411.14,T,ALB,USD,Lek (ALL),False
93,Albania,2017,51392.033,M,ALB,Local,Lek (ALL),False
94,Albania,2017,973.972,M,ALB,PPP,Lek (ALL),False
95,Albania,2017,431.503,M,ALB,USD,Lek (ALL),False
96,Albania,2017,46017.64,F,ALB,Local,Lek (ALL),False
97,Albania,2017,872.117,F,ALB,PPP,Lek (ALL),False
98,Albania,2017,386.378,F,ALB,USD,Lek (ALL),False
99,Albania,2016,47522.434,T,ALB,Local,Lek (ALL),False
100,Albania,2016,898.585,T,ALB,PPP,Lek (ALL),False
101,Albania,2016,382.806,T,ALB,USD,Lek (ALL),False
102,Albania,2016,50083.853,M,ALB,Local,Lek (ALL),False
103,Albania,2016,947.018,M,ALB,PPP,Lek (ALL),False
104,Albania,2016,403.438,M,ALB,USD,Lek (ALL),False
105,Albania,2016,44354.206,F,ALB,Local,Lek (ALL),False
106,Albania,2016,838.678,F,ALB,PPP,Lek (ALL),False
107,Albania,2016,357.285,F,ALB,USD,Lek (ALL),False
108,Albania,2015,46829.0,T,ALB,Local,Lek (ALL),False
109,Albania,2015,891.556,T,ALB,PPP,Lek (ALL),False
110,Albania,2015,371.772,T,ALB,USD,Lek (ALL),False
111,Albania,2015,48358.0,M,ALB,Local,Lek (ALL),False
112,Albania,2015,920.666,M,ALB,PPP,Lek (ALL),False
113,Albania,2015,383.91,M,ALB,USD,Lek (ALL),False
