ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2020,686.841,Break in series,,Currency: AFG - Afghani (AFN) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,ADM-IR - General Directorate of Taxation,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,1215.383,,,Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL),Reference group coverage: Insured persons
Angola,LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,341.196,,,Currency: AGO - Kwanza (AOA),Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,1246.392,,,Currency: ATG - East Caribbean dollar (XCD),Repository: ILO-STATISTICS - Micro data processing
Argentina,"LFS - Permanent Household Survey, Urban",Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,1062.444,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,HIES - Households Living Conditions Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,752.997,,,Currency: ARM - Dram (AMD),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Aruba,PC - Population and Housing Census,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2010,1675.147,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG),Data reference period: September
Australia,"HIES - Household, Income and Labour Dynamics Survey",Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,3287.391,,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Austria,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,4690.642,,,Currency: AUT - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Azerbaijan,ES - Labour-related Establishment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,1287.672,,,Working time arrangement coverage: Full-time and part time workers | Currency: AZE - Azerbaijani manat (AZN),Reference group coverage: Employees
Bahamas,LFS - Labour Force & Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,5130.709,,,Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BHS - Bahamian dollar (BSD),Repository: ILO-STATISTICS - Micro data processing
Bahrain,ADM-IR - Social Insurance organization Records,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2020,2345.007,,,Value type: Real values | Working time arrangement coverage: Full-time and part time workers | Currency: BHR - Bahraini dinar (BHD),
Bangladesh,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2017,381.196,,,Currency: BGD - Taka (BDT),Repository: ILO-STATISTICS - Micro data processing
Barbados,HIES - Survey on Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2016,1092.404,,,Currency: BRB - Barbadian dollar (BBD),Repository: ILO-STATISTICS - Micro data processing
Belgium,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,6400.913,,,Currency: BEL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
