,ISO,year,country,T,M,F,ratio,break,local_currency_code,currency,female_share,male_share,balanced_avg,balanced_ratio
0,ABW,2010,Aruba,3013.0,3338.0,2713.0,0.8127621330137808,False,AWG,Local,0.52,0.48,3025.5,0.896711287390514
1,ABW,2010,Aruba,1860.382,2061.054,1675.147,0.8127623051118504,False,AWG,PPP,0.520000932867245,0.479999067132755,1868.1005,0.896711392133346
2,ABW,2010,Aruba,1683.24,1864.804,1515.642,0.8127620918874048,False,AWG,USD,0.5199993126399782,0.48000068736002177,1690.223,0.8967112623600555
3,AFG,2014,Afghanistan,8848.569,9135.149,5517.315,0.6039655182416839,False,AFN,Local,0.07921314244932187,0.9207868575506781,7326.232,0.7530904017235599
4,AFG,2014,Afghanistan,517.709,534.476,322.805,0.6039653791751173,False,AFN,PPP,0.07921255155406293,0.9207874484459371,428.6405,0.7530902936143459
5,AFG,2014,Afghanistan,154.567,159.573,96.376,0.6039618231154393,False,AFN,USD,0.07921262085225564,0.9207873791477443,127.9745,0.7530875291561991
6,AFG,2020,Afghanistan,13202.245,13439.387,10843.294,0.8068295079232408,True,AFN,Local,0.0913457260583499,0.9086542739416501,12141.3405,0.8930886997197715
7,AFG,2020,Afghanistan,836.263,851.284,686.841,0.8068294482217451,True,AFN,PPP,0.09134472127120011,0.9086552787287999,769.0625,0.893088663145063
8,AFG,2020,Afghanistan,171.874,174.961,141.164,0.8068312366756019,True,AFN,USD,0.0913394680001188,0.9086605319998812,158.0625,0.8930897587979437
9,AGO,2019,Angola,82234.658,92241.63,58793.485,0.6373855817595591,True,AOA,Local,0.2991786839001089,0.7008213160998911,75517.5575,0.7785406062689462
10,AGO,2019,Angola,565.58,634.404,404.36,0.6373856406958343,True,AOA,PPP,0.29917754864286816,0.7008224513571318,519.3820000000001,0.7785406502343168
11,AGO,2019,Angola,225.408,252.838,161.155,0.6373844121532365,True,AOA,USD,0.299183054655716,0.7008169453442841,206.9965,0.7785397337636144
