,ISO,year,country,T,M,F,ratio,break,female_share,male_share,balanced_avg,balanced_ratio
0,ABW,2010,Aruba,3013.0,3338.0,2713.0,0.8127621330137808,False,0.52,0.48,3025.5,0.896711287390514
3,AFG,2014,Afghanistan,8848.569,9135.149,5517.315,0.6039655182416839,False,0.07921314244932187,0.9207868575506781,7326.232,0.7530904017235599
6,AFG,2020,Afghanistan,13202.245,13439.387,10843.294,0.8068295079232408,True,0.0913457260583499,0.9086542739416501,12141.3405,0.8930886997197715
9,AGO,2019,Angola,82234.658,92241.63,58793.485,0.6373855817595591,True,0.2991786839001089,0.7008213160998911,75517.5575,0.7785406062689462
12,AGO,2021,Angola,90678.796,99293.136,69497.802,0.6999255416809476,False,0.289117081218153,0.7108829187818471,84395.469,0.8234778812592415
27,ALB,2015,Albania,46829.0,48358.0,45033.0,0.9312419868480913,False,0.4598496240601504,0.5401503759398496,46695.5,0.9643969975693589
30,ALB,2016,Albania,47522.434,50083.853,44354.206,0.8855989174794519,False,0.4470465632525005,0.5529534367474995,47219.029500000004,0.9393290474129714
33,ALB,2017,Albania,48966.821,51392.033,46017.64,0.895423615563136,False,0.4512531926861318,0.5487468073138682,48704.836500000005,0.9448269064613325
36,ALB,2018,Albania,50589.0,53181.0,47490.0,0.8929880972527783,False,0.4554559831312599,0.5445440168687401,50335.5,0.9434693208570492
39,ALB,2019,Albania,52380.0,54940.0,49411.0,0.8993629413906079,False,0.46301320311086996,0.53698679688913,52175.5,0.9470153616160841
42,ALB,2020,Albania,53662.0,55317.0,51679.0,0.9342335990744256,False,0.4549202858713579,0.5450797141286421,53498.0,0.9659987289244458
45,ALB,2021,Albania,57191.0,58413.0,55760.0,0.9545820279732251,False,0.46061062947606485,0.5393893705239352,57086.5,0.9767633328370106
48,ALB,2022,Albania,61898.0,63773.0,59813.0,0.9379047559311935,False,0.4734848484848485,0.5265151515151515,61793.0,0.9679575356431959
71,ANT,1983,Netherlands Antilles,1761.0,1931.0,1397.0,0.7234593474883481,False,0.31835205992509363,0.6816479400749064,1664.0,0.8395432692307693
72,ANT,1984,Netherlands Antilles,1780.0,2076.0,1432.0,0.6897880539499036,True,0.45962732919254656,0.5403726708074534,1754.0,0.8164196123147093
73,ANT,1985,Netherlands Antilles,1863.0,2099.0,1501.0,0.7151024297284421,False,0.39464882943143814,0.6053511705685619,1800.0,0.8338888888888889
74,ANT,1986,Netherlands Antilles,1664.0,1936.0,1251.0,0.6461776859504132,False,0.3970802919708029,0.602919708029197,1593.5,0.7850643238155005
77,ARE,2009,United Arab Emirates,7450.614,7917.571,5550.968,0.7010948180950951,False,0.19731108259391217,0.8026889174060878,6734.2695,0.8242865837192883
80,ARG,2004,Argentina,685.086,797.288,546.02,0.6848466300759575,True,0.44654313322826616,0.5534568667717339,671.654,0.8129483335169596
81,ARG,2005,Argentina,816.306,953.885,644.352,0.6755028121838587,False,0.44447280257678484,0.5555271974232152,799.1185,0.8063284731863922
82,ARG,2006,Argentina,1026.552,1185.819,827.057,0.6974563571674935,False,0.44393497639103385,0.5560650236089661,1006.438,0.8217664674823487
84,ARG,2008,Argentina,1636.195,1862.376,1348.002,0.7238076521604659,False,0.4397209034671271,0.5602790965328729,1605.1889999999999,0.8397777457981584
85,ARG,2009,Argentina,1968.266,2201.785,1676.452,0.7614058593368562,False,0.44451614499755365,0.5554838550024463,1939.1185,0.864543347918139
86,ARG,2010,Argentina,2418.527,2708.707,2047.072,0.7557377006815429,False,0.43858018393827386,0.5614198160617261,2377.8894999999998,0.8608776816584623
87,ARG,2011,Argentina,3150.631,3542.718,2643.812,0.7462665670821104,False,0.4361824261936176,0.5638175738063824,3093.265,0.8546994842019678
90,ARG,2012,Argentina,3925.666,4410.081,3304.936,0.7494048295258069,False,0.4383270973492166,0.5616729026507834,3857.5085,0.8567540421492267
93,ARG,2013,Argentina,4981.156,5594.005,4198.434,0.7505238196962641,False,0.43913853182675777,0.5608614681732422,4896.2195,0.8574848411105752
96,ARG,2014,Argentina,6460.093,7254.33,5446.116,0.7507400407756472,False,0.439238386606895,0.560761613393105,6350.223,0.8576259447896554
99,ARG,2017,Argentina,14490.073,16382.998,12258.414,0.7482399741488097,False,0.4589371922113842,0.5410628077886158,14320.706,0.8559922953519191
102,ARG,2018,Argentina,18457.024,20937.729,15579.87,0.7441050555196317,False,0.46300303908706797,0.536996960912932,18258.7995,0.8532800855828446
105,ARG,2019,Argentina,25562.726,28726.973,21861.66,0.7610150919834122,False,0.4609035305455122,0.5390964694544877,25294.3165,0.86429139130919
108,ARG,2020,Argentina,36282.026,40458.771,31428.096,0.7767931457927875,False,0.4625064017916715,0.5374935982083284,35943.4335,0.874376567280363
111,ARG,2021,Argentina,51752.749,58629.244,43757.025,0.7463344572548131,False,0.4623718222546344,0.5376281777453655,51193.1345,0.8547440086912436
