,ISO,year,country,break,local_currency_code,F_local,F_usd,M_local,M_usd,T_local,T_usd,ratio,female_share,male_share,balanced_avg,balanced_ratio,ratio_usd
0,ABW,2010,Aruba,False,AWG,2713.0,1515.642,3338.0,1864.804,3013.0,1683.24,0.812,0.52,0.48,3025.5,0.896,0.8127620918874048
1,AFG,2014,Afghanistan,False,AFN,5517.315,96.376,9135.149,159.573,8848.569,154.567,0.603,0.079,0.92,7326.232,0.753,0.6039618231154393
2,AFG,2020,Afghanistan,True,AFN,10843.294,141.164,13439.387,174.961,13202.245,171.874,0.806,0.091,0.908,12141.34,0.893,0.8068312366756019
3,AGO,2019,Angola,True,AOA,58793.485,161.155,92241.63,252.838,82234.658,225.408,0.637,0.299,0.7,75517.557,0.778,0.6373844121532365
4,AGO,2021,Angola,False,AOA,69497.802,110.062,99293.136,157.248,90678.796,143.606,0.699,0.289,0.71,84395.469,0.823,0.6999262311762312
5,ALB,2015,Albania,False,ALL,45033.0,357.514,48358.0,383.91,46829.0,371.772,0.931,0.459,0.54,46695.5,0.964,0.9312443020499596
6,ALB,2016,Albania,False,ALL,44354.206,357.285,50083.853,403.438,47522.434,382.806,0.885,0.447,0.552,47219.029,0.939,0.8856007614552919
7,ALB,2017,Albania,False,ALL,46017.64,386.378,51392.033,431.503,48966.821,411.14,0.895,0.451,0.548,48704.836,0.944,0.8954236702873445
8,ALB,2018,Albania,False,ALL,47490.0,439.766,53181.0,492.466,50589.0,468.464,0.892,0.455,0.544,50335.5,0.943,0.8929875361953922
9,ALB,2019,Albania,False,ALL,49411.0,449.801,54940.0,500.133,52380.0,476.828,0.899,0.463,0.536,52175.5,0.947,0.8993627695033122
10,ALB,2020,Albania,False,ALL,51679.0,475.647,55317.0,509.13,53662.0,493.898,0.934,0.454,0.545,53498.0,0.965,0.9342348712509575
11,ALB,2021,Albania,False,ALL,55760.0,538.64,58413.0,564.268,57191.0,552.463,0.954,0.46,0.539,57086.5,0.976,0.9545818653547604
12,ALB,2022,Albania,False,ALL,59813.0,529.124,63773.0,564.155,61898.0,547.568,0.937,0.473,0.526,61793.0,0.967,0.937905362887859
13,ARE,2009,United Arab Emirates,False,AED,5550.968,1511.496,7917.571,2155.908,7450.614,2028.758,0.701,0.197,0.802,6734.269,0.824,0.7010948519139036
14,ARG,2004,Argentina,True,ARS,546.02,188.412,797.288,275.116,685.086,236.399,0.684,0.446,0.553,671.654,0.812,0.6848456651012664
15,ARG,2005,Argentina,False,ARS,644.352,218.646,953.885,323.68,816.306,276.995,0.675,0.444,0.555,799.118,0.806,0.6755004943153732
16,ARG,2006,Argentina,False,ARS,827.057,271.611,1185.819,389.431,1026.551,337.127,0.697,0.443,0.556,1006.438,0.821,0.6974560320056699
