,ISO,year,country,break,local_currency_code,F_local,F_usd,M_local,M_usd,T_local,T_usd,ratio_local,ratio_usd,female_share,male_share,balanced_avg,balanced_ratio
0,ABW,2010,Aruba,False,AWG,2713.0,1515.642,3338.0,1864.804,3013.0,1683.24,0.812,0.812,0.52,0.48,3025.5,0.896
1,AFG,2020,Afghanistan,True,AFN,10843.294,141.164,13439.387,174.961,13202.245,171.874,0.806,0.806,0.091,0.908,12141.34,0.893
2,AGO,2021,Angola,False,AOA,69497.802,110.062,99293.136,157.248,90678.796,143.606,0.699,0.699,0.289,0.71,84395.469,0.823
3,ALB,2015,Albania,False,ALL,45033.0,357.514,48358.0,383.91,46829.0,371.772,0.931,0.931,0.459,0.54,46695.5,0.964
4,ALB,2016,Albania,False,ALL,44354.206,357.285,50083.853,403.438,47522.434,382.806,0.885,0.885,0.447,0.552,47219.029,0.939
5,ALB,2017,Albania,False,ALL,46017.64,386.378,51392.033,431.503,48966.821,411.14,0.895,0.895,0.451,0.548,48704.836,0.944
6,ALB,2018,Albania,False,ALL,47490.0,439.766,53181.0,492.466,50589.0,468.464,0.892,0.892,0.455,0.544,50335.5,0.943
7,ALB,2019,Albania,False,ALL,49411.0,449.801,54940.0,500.133,52380.0,476.828,0.899,0.899,0.463,0.536,52175.5,0.947
8,ALB,2020,Albania,False,ALL,51679.0,475.647,55317.0,509.13,53662.0,493.898,0.934,0.934,0.454,0.545,53498.0,0.965
9,ALB,2021,Albania,False,ALL,55760.0,538.64,58413.0,564.268,57191.0,552.463,0.954,0.954,0.46,0.539,57086.5,0.976
10,ALB,2022,Albania,False,ALL,59813.0,529.124,63773.0,564.155,61898.0,547.568,0.937,0.937,0.473,0.526,61793.0,0.967
11,ARE,2009,United Arab Emirates,False,AED,5550.968,1511.496,7917.571,2155.908,7450.614,2028.758,0.701,0.701,0.197,0.802,6734.269,0.824
12,ARG,2004,Argentina,True,ARS,546.02,188.412,797.288,275.116,685.086,236.399,0.684,0.684,0.446,0.553,671.654,0.812
13,ARG,2005,Argentina,False,ARS,644.352,218.646,953.885,323.68,816.306,276.995,0.675,0.675,0.444,0.555,799.118,0.806
14,ARG,2006,Argentina,False,ARS,827.057,271.611,1185.819,389.431,1026.551,337.127,0.697,0.697,0.443,0.556,1006.438,0.821
15,ARG,2008,Argentina,False,ARS,1348.002,428.753,1862.376,592.358,1636.195,520.418,0.723,0.723,0.439,0.56,1605.188,0.839
16,ARG,2009,Argentina,False,ARS,1676.452,484.103,2201.785,635.802,1968.266,568.37,0.761,0.761,0.444,0.555,1939.118,0.864
17,ARG,2010,Argentina,False,ARS,2047.072,537.995,2708.707,711.88,2418.527,635.618,0.755,0.755,0.438,0.561,2377.889,0.86
18,ARG,2011,Argentina,False,ARS,2643.812,664.107,3542.718,889.906,3150.631,791.416,0.746,0.746,0.436,0.563,3093.265,0.854
19,ARG,2012,Argentina,False,ARS,3304.936,765.031,4410.081,1020.852,3925.666,908.718,0.749,0.749,0.438,0.561,3857.508,0.856
20,ARG,2013,Argentina,False,ARS,4198.434,848.511,5594.005,1130.558,4981.156,1006.7,0.75,0.75,0.439,0.56,4896.219,0.857
21,ARG,2014,Argentina,False,ARS,5446.116,771.951,7254.33,1028.253,6460.093,915.675,0.75,0.75,0.439,0.56,6350.223,0.857
22,ARG,2017,Argentina,False,ARS,12258.414,771.309,16382.998,1030.831,14490.073,911.726,0.748,0.748,0.458,0.541,14320.706,0.855
23,ARG,2018,Argentina,False,ARS,15579.87,805.41,20937.729,1082.388,18457.024,954.147,0.744,0.744,0.463,0.536,18258.799,0.853
24,ARG,2019,Argentina,False,ARS,21861.66,568.869,28726.973,747.514,25562.726,665.176,0.761,0.761,0.46,0.539,25294.316,0.864
25,ARG,2020,Argentina,False,ARS,31428.096,498.985,40458.771,642.365,36282.026,576.051,0.776,0.776,0.462,0.537,35943.433,0.874
26,ARG,2021,Argentina,False,ARS,43757.025,478.354,58629.244,640.938,51752.749,565.764,0.746,0.746,0.462,0.537,51193.134,0.854
27,ARG,2022,Argentina,False,ARS,70482.564,643.793,93993.388,858.543,83060.662,758.683,0.749,0.749,0.465,0.534,82237.976,0.857
28,ARG,2023,Argentina,False,ARS,163516.913,862.385,214733.502,1132.5,190754.004,1006.033,0.761,0.761,0.468,0.531,189125.207,0.864
29,ARM,2011,Armenia,False,AMD,64292.79,172.598,97430.606,261.558,82681.486,221.963,0.659,0.659,0.445,0.554,80861.698,0.795
30,ARM,2012,Armenia,False,AMD,69123.535,172.05,105034.109,261.432,88760.389,220.927,0.658,0.658,0.453,0.546,87078.822,0.793
31,ARM,2014,Armenia,True,AMD,74654.281,179.492,114809.237,276.037,95690.029,230.068,0.65,0.65,0.476,0.523,94731.758,0.788
32,ARM,2015,Armenia,False,AMD,79546.827,166.444,119184.393,249.382,100331.238,209.934,0.667,0.667,0.475,0.524,99365.61,0.8
33,ARM,2016,Armenia,False,AMD,79541.311,165.543,119163.433,248.005,99931.079,207.978,0.667,0.667,0.485,0.514,99352.372,0.8
34,ARM,2017,Armenia,False,AMD,84423.741,174.893,122056.875,252.854,103505.383,214.423,0.691,0.691,0.492,0.507,103240.307,0.817
35,ARM,2020,Armenia,False,AMD,100066.646,204.632,151655.781,310.129,125733.844,257.12,0.659,0.659,0.502,0.497,125861.213,0.795
36,ARM,2021,Armenia,False,AMD,104116.368,206.674,158052.93,313.74,130559.108,259.164,0.658,0.658,0.509,0.49,131084.649,0.794
37,ATG,2018,Antigua and Barbuda,False,XCD,2481.99,919.256,2871.245,1063.424,2672.81,989.93,0.864,0.864,0.509,0.49,2676.617,0.927
38,ATG,2023,Antigua and Barbuda,False,XCD,2682.598,993.555,3009.74,1114.718,2840.209,1051.929,0.891,0.891,0.518,0.481,2846.169,0.942
39,AUS,1972,Australia,False,AUD,67.297,56.441,98.7,82.779,,,0.681,0.681,,,82.998,0.81
40,AUS,1973,Australia,False,AUD,81.12,57.117,115.056,81.012,,,0.705,0.705,,,98.088,0.827
41,AUS,1974,Australia,False,AUD,110.11,76.71,147.854,103.005,,,0.744,0.744,,,128.982,0.853
42,AUS,1975,Australia,False,AUD,130.175,99.437,164.43,125.603,,,0.791,0.791,,,147.303,0.883
43,AUS,1976,Australia,False,AUD,150.912,123.488,187.627,153.531,,,0.804,0.804,,,169.269,0.891
44,AUS,1977,Australia,False,AUD,169.344,152.717,207.977,187.557,,,0.814,0.814,,,188.66,0.897
45,AUS,1978,Australia,False,AUD,181.45,158.525,221.676,193.669,,,0.818,0.818,,,201.563,0.9
46,AUS,1979,Australia,False,AUD,196.474,175.773,242.537,216.983,,,0.81,0.81,,,219.505,0.895
47,AUS,1982,Australia,True,AUD,282.298,278.306,356.4,351.36,332.985,328.276,0.792,0.792,0.315,0.684,319.349,0.883
48,AUS,1984,Australia,False,AUD,329.284,375.225,405.015,461.522,379.764,432.748,0.813,0.813,0.333,0.666,367.149,0.896
49,AUT,2002,Austria,False,EUR,1719.69,1626.094,2409.93,2278.767,2162.43,2044.737,0.713,0.713,0.358,0.641,2064.81,0.832
50,AUT,2004,Austria,False,EUR,1674.637,2083.085,2551.872,3174.279,2169.082,2698.126,0.656,0.656,0.436,0.563,2113.254,0.792
51,AUT,2005,Austria,False,EUR,1757.038,2185.914,2625.727,3266.642,2247.198,2795.717,0.669,0.669,0.435,0.564,2191.382,0.801
52,AUT,2006,Austria,False,EUR,1762.951,2213.559,2629.62,3301.748,2251.217,2826.626,0.67,0.67,0.436,0.563,2196.285,0.802
53,AUT,2007,Austria,False,EUR,2174.364,2979.918,3303.052,4526.76,2812.792,3854.869,0.658,0.658,0.434,0.565,2738.708,0.793
