,country,year,ratio,female_share,balanced_ratio
598,Egypt,2009,0.293,0.165,0.454
1802,Tajikistan,2009,0.368,0.348,0.538
1267,Mali,2018,0.384,0.339,0.555
1355,Niger,2011,0.387,0.383,0.558
1644,Sudan,2022,0.401,0.15,0.572
1441,Pakistan,2012,0.41,0.181,0.581
1801,Tajikistan,2007,0.411,0.361,0.582
1840,Uganda,2005,0.416,0.421,0.588
110,Azerbaijan,2012,0.468,0.439,0.638
1800,Tajikistan,2003,0.47,0.386,0.64
111,Azerbaijan,2013,0.475,0.424,0.644
731,Georgia,2005,0.489,0.465,0.657
732,Georgia,2006,0.49,0.456,0.658
114,Azerbaijan,2016,0.503,0.414,0.669
728,Georgia,2002,0.504,0.491,0.67
733,Georgia,2007,0.505,0.456,0.671
115,Azerbaijan,2017,0.506,0.411,0.672
727,Georgia,2001,0.507,0.495,0.673
109,Azerbaijan,2011,0.511,0.425,0.676
725,Georgia,1999,0.521,0.537,0.685
729,Georgia,2003,0.525,0.479,0.689
1268,Mali,2019,0.53,0.279,0.692
374,Côte d'Ivoire,2012,0.531,0.269,0.694
1839,Uganda,2002,0.533,0.203,0.695
1075,Republic of Korea,1990,0.535,0.315,0.697
1266,Mali,2017,0.535,0.28,0.697
116,Azerbaijan,2018,0.538,0.405,0.699
730,Georgia,2004,0.538,0.475,0.699
113,Azerbaijan,2015,0.538,0.408,0.7
734,Georgia,2008,0.542,0.461,0.702
1076,Republic of Korea,1991,0.545,0.317,0.705
112,Azerbaijan,2014,0.546,0.416,0.707
149,Burkina Faso,2023,0.549,0.299,0.709
326,Switzerland,1999,0.551,0.455,0.711
1847,Uganda,2021,0.552,0.312,0.711
329,Switzerland,2002,0.555,0.464,0.714
1432,Pakistan,2002,0.555,0.136,0.714
379,Cameroon,2014,0.556,0.292,0.715
1434,Pakistan,2005,0.557,0.139,0.715
330,Switzerland,2003,0.557,0.468,0.716
1077,Republic of Korea,1992,0.558,0.306,0.717
332,Switzerland,2005,0.559,0.467,0.717
331,Switzerland,2004,0.56,0.469,0.718
1437,Pakistan,2008,0.561,0.121,0.719
328,Switzerland,2001,0.565,0.461,0.722
327,Switzerland,2000,0.565,0.459,0.722
335,Switzerland,2008,0.567,0.474,0.723
333,Switzerland,2006,0.569,0.464,0.725
336,Switzerland,2009,0.569,0.473,0.725
597,Egypt,2008,0.571,0.167,0.727
334,Switzerland,2007,0.572,0.464,0.727
1419,Nepal,1999,0.572,0.24,0.728
1263,Mali,2014,0.573,0.258,0.729
736,Georgia,2010,0.574,0.459,0.729
757,Guinea-Bissau,2019,0.575,0.263,0.73
735,Georgia,2009,0.576,0.458,0.731
117,Azerbaijan,2019,0.582,0.402,0.735
87,Austria,2001,0.583,0.455,0.736
47,Australia,1969,0.584,,0.737
1381,Netherlands,2007,0.586,0.465,0.739
1022,Kazakhstan,2001,0.587,0.474,0.74
337,Switzerland,2010,0.587,0.471,0.74
1380,Netherlands,2006,0.587,0.448,0.74
48,Australia,1970,0.59,,0.742
1646,Senegal,2019,0.591,0.32,0.743
226,Bolivia (Plurinational State of),1990,0.593,0.346,0.745
496,Germany,2008,0.594,0.462,0.745
1443,Pakistan,2014,0.596,0.153,0.746
1446,Pakistan,2017,0.596,0.147,0.747
737,Georgia,2011,0.596,0.434,0.747
500,Germany,2012,0.599,0.473,0.749
1433,Pakistan,2004,0.599,0.138,0.749
1436,Pakistan,2007,0.6,0.125,0.75
145,Benin,2022,0.6,0.296,0.75
493,Germany,2005,0.602,0.446,0.752
339,Switzerland,2012,0.602,0.474,0.751
