Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,BDI,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,BDI,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Burundi,BDI,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,BDI,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,4.0,7.0,9.0,13.0,17.0,21.0,28.0,33.0,41.0,46.0,52.0,60.0,76.0,80.0,83.0,86.0,89.0,91.0,92.0,
Burundi,BDI,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,4.0,6.0,8.0,11.0,15.0,18.0,24.0,28.0,26.0,30.0,35.0,43.0,54.0,64.0,72.0,80.0,82.0,85.0,86.0,
Burundi,BDI,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,,,7.11,,,,,,,,,
Burundi,BDI,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,,,6.73,,,,,,,,,
Burundi,BDI,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,,7.5,,,,,,,,,
Burundi,BDI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,18.59082,,,,,17.14554,,18.70052,20.57046,23.85651,29.98929,34.70884,38.96946,41.46913,46.5633,49.16317,,,,,49.06123,,,,,,,41.44158,50.27606,49.53727,52.98084,54.62652,57.85952,74.51539,81.83971,92.44863,90.75957,95.49752,,,,,,,95.54934,93.4166,,,,,
Burundi,BDI,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,13.8499,,,,,13.71061,,15.04514,16.53072,18.5612,23.7192,28.0895,32.32319,35.33768,40.80462,44.49855,,,,,45.17336,,,,,,,37.63632,45.46107,44.42929,48.2505,51.51351,55.05031,73.19322,80.84789,91.91476,91.43263,96.55613,,,,,,,97.16765,94.82571,,,,,
Burundi,BDI,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,23.40446,,,,,20.62199,,22.39389,24.66131,29.25203,36.40668,41.49905,45.78622,47.74203,52.42783,53.88861,,,,,52.94264,,,,,,,45.25815,55.11832,54.67046,57.73128,57.75072,60.67673,75.84013,82.83274,92.98263,90.08708,94.44081,,,,,,,93.94217,92.01824,,,,,
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,95.936,96.377,96.269,96.02,95.928,95.391,93.435,92.784,92.896,94.692,94.206,92.33,90.453,88.117,88.091,88.806,89.093,88.372,88.156,88.424,85.91,84.27,81.806,80.098,71.807,71.302,70.989,71.556,71.906,73.174,74.557,77.494,77.662,78.897,76.802,77.57,76.642,75.16,76.014,79.447,81.877,81.718,83.48,85.006,83.988,81.046,78.029,75.319,72.445,76.535,77.842,75.565,72.048,67.548,64.713,62.718,60.404,58.504,57.37,56.534,55.673,54.826,54.08,
Burundi,BDI,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,21.7,,,,,,,,20.8,,,,,,,,21.8,,,22.5,,,,,,,,,,23.4,,23.7,,,21.6,,,22.1,,22.1,,,,,,22.8,,,,,,,
Burundi,BDI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,23.7,,,,,,,,24.1,,,,,,,,,,,25.7,,,,,,,,,,26.2,,26.1,,,25.5,,,24.6,,25.4,,,,,,26.1,,,,,,,
Burundi,BDI,Age dependency ratio (% of working-age population),SP.POP.DPND,93.4407048310176,93.64257471660044,93.94742774516357,94.86953868564288,94.92119971881192,94.41847137226942,93.69117490386046,93.03082174756965,92.727917499065,92.82978783973188,92.99951236685756,92.88792597790685,95.15743959478613,97.18804422000818,96.33964156626826,96.05571093356248,96.30781474204504,96.16198065651253,95.74457724804856,96.25253104838278,94.58542180461674,93.58451192983156,95.03191241167843,96.15804163739712,97.59233641913538,99.30564298694668,101.29344834663472,102.46404265497924,103.65389374659333,105.20418576026948,106.3035555375032,107.0551904490858,106.50807750741129,115.5420479984448,116.02586932407203,106.90581127328764,108.8808600907369,110.13545161327174,107.67368913936248,104.67587583449335,102.68386744308656,100.48625971061338,98.4196517721056,96.42367797595725,94.22440227564849,92.71300656295742,91.90584507236407,91.41023349970006,90.64399222777662,89.8539543509212,90.00889408740767,91.00876955913198,92.15639285045118,93.3838719525298,94.62207065426396,97.1104592056118,99.9434296067735,101.06765340440772,100.48966728490014,98.99976731222236,97.59646209845371,96.00543201380891,94.07956023911196,91.846666183644
Burundi,BDI,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,57693.0,58728.0,60324.5,61888.0,63231.0,65381.0,67546.5,69442.5,71443.0,73378.0,75057.0,76762.5,77724.5,76614.5,77034.0,80115.5,82801.5,85148.0,88239.0,92064.0,95893.5,101992.5,106817.5,108831.0,110991.5,112558.5,113803.0,115143.0,117154.0,118917.5,120298.0,121642.5,123253.5,123479.5,113020.5,114439.0,124853.5,121141.0,118584.0,121451.0,126061.0,130567.5,136483.5,143404.0,151105.5,159909.0,168341.5,175998.5,183795.0,192960.0,203335.5,210216.0,213087.0,216222.0,219407.0,220771.0,217563.5,213079.0,211782.0,213275.0,215792.5,217338.0,218623.5,220380.5
Burundi,BDI,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,58187.5,59244.0,60852.5,62429.0,63789.5,65945.0,68124.5,70049.0,72065.5,74004.0,75691.0,77406.5,78367.5,77252.5,77684.5,80796.5,83518.5,85902.5,89042.0,92928.5,96819.0,103009.0,107896.0,109929.5,112124.5,113756.5,115095.0,116522.0,118537.0,120335.0,121791.5,123134.5,124723.0,124846.0,114222.5,115708.0,126256.5,122533.0,120034.5,123061.0,127840.5,132459.0,138432.0,145352.5,153034.5,161881.0,170457.5,178300.0,186232.5,195583.0,206186.0,213209.0,216216.0,219484.5,222812.0,224341.5,221236.0,216816.5,215553.0,217077.0,219705.0,221370.0,222785.5,224590.5
Burundi,BDI,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,52410.0,53349.5,54333.5,55748.0,57362.5,58527.0,60425.0,62495.5,64187.0,65961.0,67731.5,69332.5,70062.0,70883.0,70778.5,71245.0,74092.5,76757.0,79142.5,82065.5,86346.5,90128.5,95619.5,100507.0,102609.0,104830.0,106459.0,108017.0,109296.0,111257.5,113256.0,114638.5,116210.0,115262.0,117135.5,109510.5,108366.0,118450.5,115914.0,113819.0,116554.0,121355.5,126075.5,132184.5,139434.5,147197.5,156008.5,164626.5,172700.0,181241.0,190348.0,200179.5,207283.5,210437.0,213662.5,216206.0,217377.5,214931.5,211230.0,210340.0,211658.5,214153.5,215854.0,217269.5
Burundi,BDI,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,52616.5,53584.0,54594.5,56011.0,57630.5,58803.5,60701.0,62782.0,64497.5,66275.5,68033.0,69632.0,70334.0,71142.0,71061.5,71540.0,74403.5,77103.5,79527.0,82481.5,86802.0,90622.0,96165.5,101081.5,103182.5,105421.5,107098.0,108702.0,110051.0,111974.5,113929.0,115357.5,116905.5,115978.5,117745.0,109952.5,108841.0,118947.5,116370.0,114295.0,117117.5,122029.0,126852.0,133037.0,140303.5,148064.0,156940.5,165724.0,174011.5,182730.5,192053.0,202139.0,209439.5,212787.5,216196.5,218933.5,220322.5,218032.0,214442.5,213625.0,215005.5,217633.0,219410.0,220976.5
Burundi,BDI,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,49424.5,50264.5,51171.5,52054.5,53551.0,55037.0,56078.0,57956.0,59896.0,61468.0,63168.5,64914.5,65685.0,66312.0,67925.0,67891.5,68313.5,71158.5,73846.5,76127.5,79485.0,83720.0,87103.0,92653.5,97507.5,99659.5,101904.5,103770.5,105299.0,106562.0,108698.5,110715.0,112319.0,111778.5,112243.0,116039.0,106408.5,105321.5,115978.5,113705.5,111538.5,114419.0,119316.0,124152.0,130486.0,137714.5,145425.0,154301.0,163163.0,171785.5,180208.0,188795.5,198730.5,205966.5,209128.5,211756.5,214085.0,215826.0,213974.5,210589.0,209537.0,210828.5,213404.5,215194.5
Burundi,BDI,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,49600.5,50470.5,51420.0,52323.0,53817.0,55307.5,56358.5,58238.5,60195.5,61783.0,63472.5,65204.0,65878.5,66454.5,68144.5,68150.5,68580.0,71455.5,74191.5,76499.5,79876.0,84138.0,87549.0,93144.5,98017.5,100156.0,102400.0,104291.0,105827.0,107147.5,109249.0,111203.0,112835.0,112212.0,112701.5,116437.0,106653.0,105606.5,116267.5,113952.5,111814.5,114787.5,119789.0,124721.5,131124.0,138369.5,146072.0,155007.0,164032.0,172855.0,181456.5,190260.0,200440.0,207881.0,211254.5,214075.0,216604.5,218580.5,216916.5,213663.5,212686.0,214035.5,216745.5,218624.0
Burundi,BDI,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,47240.5,47956.5,48773.5,49597.5,50570.0,51977.5,53356.5,54408.5,56195.5,58036.5,59560.5,61251.5,62279.5,62959.0,64277.5,65894.0,65828.0,66319.5,69174.0,71748.5,74393.5,77710.5,81563.0,85003.0,90460.0,95229.5,97340.5,99712.5,101498.0,102955.0,104323.5,106434.0,108599.5,108379.5,109032.0,111177.0,113085.5,103675.5,103283.5,113947.5,111633.5,109676.5,112666.0,117655.5,122692.5,129011.0,136187.0,143944.5,153005.5,162306.5,170807.0,178775.0,187443.0,197462.5,204679.5,207337.0,209785.0,212595.0,214830.0,213249.0,209743.5,208680.0,210047.0,212699.5
Burundi,BDI,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,47366.5,48107.0,48964.5,49827.5,50817.5,52225.5,53609.5,54669.0,56461.0,58312.0,59841.5,61522.5,62426.0,62986.5,64367.5,66082.5,66052.0,66559.5,69451.5,72066.5,74732.5,78062.5,81934.5,85399.0,90897.0,95680.5,97770.0,100128.5,101912.0,103375.0,104813.5,106884.0,108983.5,108727.0,109304.5,111534.0,113375.5,103824.0,103466.5,114118.5,111771.5,109854.5,112933.0,118020.5,123148.0,129534.0,136723.0,144468.5,153586.0,163039.0,171740.0,179886.0,188760.0,199021.5,206445.5,209313.5,211951.5,214969.0,217455.5,216070.5,212695.5,211701.5,213125.5,215919.0
Burundi,BDI,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,45590.0,46214.5,46914.5,47663.0,48566.0,49483.0,50807.0,52190.0,53191.5,54904.5,56704.5,58231.0,59281.0,60217.0,61519.0,62857.5,64405.0,64403.0,64951.0,67698.0,70562.5,73172.0,76163.5,80030.5,83397.0,88736.0,93383.0,95561.5,97811.0,99489.0,100996.0,102322.0,104532.0,105095.5,105882.5,107994.5,108573.5,110504.5,101832.0,101631.5,112069.5,109945.0,108152.0,111244.5,116398.5,121429.5,127702.0,134907.5,142815.5,152227.5,161399.0,169495.5,177520.5,186255.5,196235.0,202998.5,205504.0,208363.0,211591.5,214043.5,212358.5,208858.5,207871.0,209309.0
Burundi,BDI,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,45662.0,46308.5,47041.5,47829.0,48769.0,49706.5,51031.0,52414.5,53425.0,55137.5,56940.0,58474.0,59410.5,60201.0,61495.0,62919.5,64559.5,64597.0,65166.0,67945.0,70847.5,73474.5,76473.5,80358.0,83748.0,89127.5,93785.0,95934.5,98153.5,99836.0,101369.5,102771.5,104949.0,105391.5,106150.5,108246.0,108897.5,110758.5,101942.5,101769.0,112197.5,110050.0,108294.5,111471.0,116718.5,121838.0,128174.5,135390.0,143286.0,152749.5,162074.5,170370.0,178565.0,187499.5,197713.5,204673.0,207378.5,210424.0,213863.5,216567.5,215072.5,211695.0,210773.0,212271.0
Burundi,BDI,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,44223.5,44855.5,45468.0,46112.0,46930.5,47791.5,48649.5,49979.5,51317.0,52272.5,53957.0,55759.0,56700.5,57662.0,59169.5,60501.0,61785.0,63357.0,63406.5,63896.5,66881.0,69702.5,72035.0,75038.0,78819.0,82093.0,87295.5,91937.0,93980.0,96102.0,97794.5,99238.5,100642.0,101446.5,102853.0,104913.5,105703.0,106331.5,108746.0,100359.5,100122.0,110554.5,108576.0,106929.0,110179.0,115321.0,120316.5,126610.0,133934.5,142134.5,151418.5,160225.0,168355.0,176430.5,185129.5,194701.0,201310.0,204165.5,207381.5,210789.5,213138.5,211455.0,208033.0,207116.5
Burundi,BDI,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,44248.5,44897.0,45538.5,46215.0,47071.0,47970.5,48848.0,50174.5,51514.0,52475.0,54154.0,55961.0,56815.5,57643.5,59107.5,60454.5,61820.0,63485.5,63576.5,64083.5,67099.5,69957.0,72302.5,75311.5,79110.0,82410.0,87651.5,92298.5,94299.0,96399.5,98122.5,99605.5,101096.5,101823.0,103119.5,105205.5,105966.5,106660.5,108997.5,100462.5,100257.5,110688.5,108684.5,107070.5,110402.0,115635.5,120718.0,127075.0,134409.0,142595.5,151935.0,160896.0,169218.0,177454.5,186343.0,196133.0,202922.0,205966.5,209364.0,212978.5,215569.0,214063.5,210757.0,209906.0
Burundi,BDI,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,,,,,,98.0,95.0,85.0,
Burundi,BDI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,46.501,46.265,46.522,46.368,46.25,46.896,46.85,47.124,47.192,47.45,47.339,47.455,47.633,46.325,46.718,47.371,47.499,47.728,48.16,48.865,48.896,50.47,49.673,49.495,48.763,48.338,47.762,47.474,47.248,46.912,46.545,46.128,45.702,46.026,39.132,44.504,43.858,41.867,41.346,42.005,42.473,42.882,43.807,44.485,45.297,46.03,46.38,46.525,46.562,46.681,46.691,45.583,44.413,43.402,42.356,41.321,39.479,38.124,37.011,36.323,35.603,34.842,34.109,
Burundi,BDI,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,25.2,,,,,31.8,,,,,60.3,,78.4,,,,77.6,79.1,86.2,98.6,87.4,76.5,,
Burundi,BDI,Borrowed any money (% age 15+),borrow.any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41,,,,,,,,,
Burundi,BDI,Borrowed any money from a formal financial institution or using a mobile money account (% age 15+),fin22a.c.MM.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Borrowed any money from a formal financial institution or using a mobile money account, female (% age 15+)",fin22a.c.MM.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
