ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2020,13439.387,Break in series,,Currency: AFG - Afghani (AFN) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,ADM-IR - General Directorate of Taxation,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,63773.0,,,Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL),Reference group coverage: Insured persons
Angola,LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,99293.136,,,Currency: AGO - Kwanza (AOA),Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,3009.74,,,Currency: ATG - East Caribbean dollar (XCD),Repository: ILO-STATISTICS - Micro data processing
Argentina,"LFS - Permanent Household Survey, Urban",Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,214733.502,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,HIES - Households Living Conditions Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,191768.267,,,Currency: ARM - Dram (AMD),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Aruba,PC - Population and Housing Census,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2010,3338.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG),Data reference period: September
Australia,"HIES - Household, Income and Labour Dynamics Survey",Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,6840.278,,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Austria,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,5252.655,,,Currency: AUT - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Azerbaijan,ES - Labour-related Establishment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,962.7,,,Working time arrangement coverage: Full-time and part time workers | Currency: AZE - Azerbaijani manat (AZN),Reference group coverage: Employees
Bahamas,LFS - Labour Force & Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,5732.107,,,Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BHS - Bahamian dollar (BSD),Repository: ILO-STATISTICS - Micro data processing
Bahrain,ADM-IR - Social Insurance organization Records,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2020,336.0,,,Value type: Real values | Working time arrangement coverage: Full-time and part time workers | Currency: BHR - Bahraini dinar (BHD),
Bangladesh,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2017,12044.784,,,Currency: BGD - Taka (BDT),Repository: ILO-STATISTICS - Micro data processing
Barbados,HIES - Survey on Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2016,2752.469,,,Currency: BRB - Barbadian dollar (BBD),Repository: ILO-STATISTICS - Micro data processing
Belgium,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,6514.11,,,Currency: BEL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Belize,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2020,1020.0,,,Central tendency measure: Median | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Benin,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,95885.987,,,Currency: BEN - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Bermuda,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2013,6329.6,,,Central tendency measure: Median | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD),Data reference period: May | Population coverage: Excluding institutional population
Bhutan,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,27683.361,,,Currency: BTN - Ngultrum (BTN),Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,3427.567,,,Currency: BOL - Bolivian (BOB),Repository: ILO-STATISTICS - Micro data processing
