ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2020,174.961,Break in series,,Currency: AFG - Afghani (AFN) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,ADM-IR - General Directorate of Taxation,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,564.155,,,Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL),Reference group coverage: Insured persons
Angola,LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,157.248,,,Currency: AGO - Kwanza (AOA),Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,1114.718,,,Currency: ATG - East Caribbean dollar (XCD),Repository: ILO-STATISTICS - Micro data processing
Argentina,"LFS - Permanent Household Survey, Urban",Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,724.819,,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,HIES - Households Living Conditions Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,488.611,,,Currency: ARM - Dram (AMD),Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Aruba,PC - Population and Housing Census,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2010,1864.804,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG),Data reference period: September
Australia,"HIES - Household, Income and Labour Dynamics Survey",Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,5138.336,,,Currency: AUS - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Austria,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,5679.531,,,Currency: AUT - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Azerbaijan,ES - Labour-related Establishment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,566.294,,,Working time arrangement coverage: Full-time and part time workers | Currency: AZE - Azerbaijani manat (AZN),Reference group coverage: Employees
Bahamas,LFS - Labour Force & Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,5732.107,,,Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BHS - Bahamian dollar (BSD),Repository: ILO-STATISTICS - Micro data processing
Bahrain,ADM-IR - Social Insurance organization Records,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2020,893.617,,,Value type: Real values | Working time arrangement coverage: Full-time and part time workers | Currency: BHR - Bahraini dinar (BHD),
Bangladesh,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2017,149.741,,,Currency: BGD - Taka (BDT),Repository: ILO-STATISTICS - Micro data processing
Barbados,HIES - Survey on Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2016,1376.234,,,Currency: BRB - Barbadian dollar (BBD),Repository: ILO-STATISTICS - Micro data processing
Belgium,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,7043.503,,,Currency: BEL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Belize,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2020,510.0,,,Central tendency measure: Median | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD),Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population
Benin,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,153.932,,,Currency: BEN - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Bermuda,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2013,6329.6,,,Central tendency measure: Median | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BMU - Bermudian dollar (BMD),Data reference period: May | Population coverage: Excluding institutional population
