"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2010",3013,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2010",1860.382,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2010",1683.24,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2010",3338,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2010",2061.054,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2010",1864.804,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2010",2713,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2010",1675.147,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2010",1515.642,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2020",13202.245,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2020",836.263,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2020",171.874,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2020",13439.387,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2020",851.284,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2020",174.961,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2020",10843.294,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2020",686.841,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2020",141.164,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2014",8848.569,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2014",517.709,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2014",154.567,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2014",9135.149,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2014",534.476,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2014",159.573,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2014",5517.315,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2014",322.805,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2014",96.376,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2021",90678.796,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2021",445.183,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2021",143.606,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2021",99293.136,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2021",487.475,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2021",157.248,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2021",69497.802,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2021",341.196,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2021",110.062,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2019",82234.658,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2019",565.58,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2019",225.408,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2019",92241.63,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2019",634.404,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2019",252.838,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2019",58793.485,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2019",404.36,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2019",161.155,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2022",61898,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2022",1257.75,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2022",547.568,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2022",63773,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2022",1295.85,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2022",564.155,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2022",59813,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2022",1215.383,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2022",529.124,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2021",57191,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2021",1094.765,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2021",552.463,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2021",58413,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2021",1118.157,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2021",564.268,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2021",55760,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2021",1067.372,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2021",538.64,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2020",53662,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2020",1039.429,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2020",493.898,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2020",55317,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2020",1071.486,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2020",509.13,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2020",51679,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2020",1001.019,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2020",475.647,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2019",52380,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2019",1026.797,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2019",476.828,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2019",54940,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2019",1076.98,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: U.S. dollars","2019",500.133,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: Local currency","2019",49411,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: 2021 PPP $","2019",968.596,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Female","Currency: U.S. dollars","2019",449.801,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: Local currency","2018",50589,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: 2021 PPP $","2018",961.066,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Total","Currency: U.S. dollars","2018",468.464,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: Local currency","2018",53181,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex","Sex: Male","Currency: 2021 PPP $","2018",1010.308,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
