country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Albania,Men,Primary,1667,45,Married,8,1,Did not work (not in the labor force),,No,,,No,yes,yes,No,yes,yes,yes,yes,yes,,,,yes,,Radio/Television/Newspaper,yes,yes,yes,No,No,No,No,No,yes,No,Yes,No,yes,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,8 and more,45-49,45-59,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Men,Secondary,1882,62,Married,7,1,Not employed,,No,,,No,No,yes,No,No,yes,yes,yes,,No,,No,yes,No,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,6-7,>=60,>60,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Tertiary,2055,30,Married,3,0,Formal employee,,No,No,Decreased,yes,,yes,No,,yes,,yes,,,,,yes,No,Internet and social media ,No,No,yes,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Men,Tertiary,3213,28,Single,5,0,Formal employee,,No,No,No change,No,,No,No,,yes,,yes,yes,,,,,No,Internet and social media ,No,No,yes,No,No,No,No,No,yes,,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,25-29,25-34,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Albania,Women,Tertiary,3032,26,Married,6,1,Formal employee,,No,No,No change,yes,yes,yes,yes,No,yes,yes,yes,,,,,yes,No,Radio/Television/Newspaper,yes,yes,yes,yes,No,yes,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,6-7,25-29,25-34,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Albania,Men,Secondary,1582,58,Married,2,0,Formal employee,,No,No,No change,yes,,No,No,,yes,,yes,yes,,,,yes,No,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,55-60,45-59,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Men,Secondary,1726,60,Single,2,0,Not employed,,yes,,,yes,,No,No,,yes,,yes,yes,,,,yes,,Radio/Television/Newspaper,yes,yes,yes,No,No,No,No,No,yes,No,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,>=60,>60,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Albania,Women,Secondary,3054,43,Married,4,0,Formal employee,,yes,No,Decreased,yes,yes,yes,No,yes,yes,yes,yes,yes,yes,yes,,,No,Internet and social media ,No,yes,yes,No,No,No,No,No,yes,No,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,40-44,35-44,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Women,Primary,2105,49,Married,4,0,Did not work (not in the labor force),,yes,,,No,yes,yes,No,No,yes,yes,yes,No,No,,No,,,Radio/Television/Newspaper,yes,yes,yes,yes,No,yes,yes,No,No,No,No,No,yes,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,45-49,45-59,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Women,Tertiary,1261,24,Single,4,1,Formal employee,,yes,No,Decreased,No,,No,No,,yes,,yes,,,,,yes,,Radio/Television/Newspaper,No,No,No,No,No,yes,No,No,yes,No,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,18-24,18-24,Tertiary Education and More,0,0,1,Single Parent,0,0,Matched (3),1
Albania,Women,Primary,2008,42,Married,5,1,Not employed,,yes,,,yes,yes,yes,No,yes,yes,yes,yes,No,yes,yes,,yes,No,Official Government websites or other communication platforms,yes,No,yes,No,No,No,No,No,yes,No,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,40-44,35-44,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Secondary,1591,45,Married,5,0,Formal employee,,No,No,No change,yes,,No,No,,yes,,yes,yes,yes,yes,yes,yes,No,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,45-49,45-59,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Women,Tertiary,1316,69,Married,3,0,Retired/Pension,,No,,,yes,No,yes,No,No,yes,yes,yes,,yes,yes,yes,yes,No,Internet and social media ,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,>=60,>60,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Women,Tertiary,3105,33,Married,3,1,Formal employee,,No,No,Increased,yes,yes,yes,yes,yes,yes,yes,yes,No,yes,yes,,No,No,"Phone (text, call, Viber, WhatsApp)",yes,yes,yes,yes,yes,yes,yes,No,yes,,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Secondary,2210,33,Widowed,6,1,Did not work (not in the labor force),,yes,,,yes,yes,yes,yes,No,yes,yes,yes,,No,No,No,yes,,Radio/Television/Newspaper,No,yes,yes,yes,No,yes,yes,No,yes,No,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,6-7,30-34,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Albania,Men,Primary,1476,58,Married,5,0,Retired/Pension,,No,,,No,,No,No,,yes,,yes,yes,yes,No,yes,,,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,55-60,45-59,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Men,Secondary,1822,60,Married,2,0,Formal employee,,No,No,Decreased,yes,,,yes,,yes,,,yes,,,,,,Radio/Television/Newspaper,yes,yes,yes,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,>=60,>60,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Women,Tertiary,1593,28,Married,3,1,Employer,,No,No,Decreased,yes,yes,No,yes,yes,yes,yes,yes,No,No,,No,No,No,Internet and social media ,yes,yes,yes,No,No,yes,No,No,yes,No,No,No,No,yes,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,25-29,25-34,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Tertiary,1820,27,Single,2,0,Not employed,,yes,,,yes,,yes,yes,,yes,,yes,,,,,yes,,Radio/Television/Newspaper,No,yes,yes,No,No,No,No,No,yes,No,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,25-29,25-34,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
