country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,country1,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,check,id5,m,main_source_info,ill,mental_health_ind,mental_health_hh,worried_cause_1,worried_cause_2,worried_cause_3,worried_cause_4,worried_cause_5,worried_cause_6,worried_cause_7,worried_cause_8,worried_cause_9,worried_cause_10,health_insurance,healthcare_services,seek_health,access_healthcare,HC_unable_access_1,HC_unable_access_2,HC_unable_access_3,HC_unable_access_4,HC_unable_access_5,HC_unable_access_6,HC_unable_access_7,HC_unable_access_8,HC_unable_access_9,HC_unable_access_10,alternative_HC_1,alternative_HC_2,alternative_HC_3,alternative_HC_4,alternative_HC_5,alternative_HC_6,alternative_HC_7,safety_comm,exp_violence,exp_discrim,change_discrim,safety_home,reason_less_safe_1,reason_less_safe_2,reason_less_safe_3,reason_less_safe_4,reason_less_safe_5,reason_less_safe_6,reason_less_safe_7,reason_less_safe_8,reason_less_safe_9,reason_less_safe_10,reason_less_safe_11,GBV_frequency,know_harrass,know_physical,know_FGM,know_sexual,know_resources,know_online,know_emotional,know_communicate,know_child_marriage,know_dont_know,recent_kind,perp_spouse,perp_other_fam,perp_friend,perp_colleague,perp_boss,perp_client,perp_teacher,perp_neigh,perp_healthw,perp_comm_lead,perp_rel_lead,perp_security,perp_other,help_family,help_friend,help_colleague,help_client,help_teacher,help_police,help_health,help_helpline,help_social,help_non,help_neighbour,help_religious,help_online,help_other,help_no,help_don,help_refused,seek_help,where_friendly,where_family,where_rel_leader,where_centres,where_comm_lead,where_friends,where_helpline,where_police,where_health,where_cso,where_other,info_prevention,info_shelter_food,info_talk,info_psychosocial,info_insurance,info_protection,info_police,info_medical,info_financial,info_legal,info_onestop,info_other,need_health,need_food,need_water,need_hygiene,need_shelter,need_tenure,need_education,need_income,need_safety,need_other,id2,n,id4,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Ethiopia,Men,Technical,,26,Single,5,0,Own Account Worker,yes,,No,,yes,,No,No,,yes,,No,No,No,No,No,yes,No,Radio/Television/Newspaper,,yes,,No,No,,,No,No,No,,No,No,,,0,yes,0,No,,,,,1,Urban,,,No,,0,0,1,,No,,Yes,,No,,,,,,,,,,,,,No,744,12,Own Account Worker,1,,yes,,Nonmissing conflict (5),1-22-5,,Radio/Television/Newspaper,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,Didn’t need any healthcare services,,,,,,,,,,,No,No,No,No,No,No,Yes,The same feeling,No,No,"Yes, it decreased",The same feeling of safety,,,,,,,,,,,,Happens very often,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,12-1-26-5-1-4,4,1-26-5,0,A lot,,,ESA,4-5,25-29,25-34,Tertiary Education and More,0,0,0,Single without children,1,1,Matched (3),1
Ethiopia,Men,Tertiary,,37,Married,6,1,Formal employee,yes,,No,,yes,yes,yes,No,yes,yes,yes,No,No,No,No,No,,yes,Radio/Television/Newspaper,,No,,No,No,,,No,No,No,,No,No,,,3,yes,1,No,,,,,1,Urban,,,No,,0,0,1,,yes,,Yes,Yes,Yes,,,,,,,,,,,,,No,827,12,Formal employee,1,,No,,Nonmissing conflict (5),0-26-5,,Radio/Television/Newspaper,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,Didn’t need any healthcare services,,,,,,,,,,,No,No,No,No,No,No,No,The same feeling,No,No,"No, it didn’t change",The same feeling of safety,,,,,,,,,,,,Happens very often,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,12-1-37-4-2-8,8,1-37-4,0,A lot,"Yes, increased",,ESA,6-7,35-39,35-44,Tertiary Education and More,0,0,0,Partnered with children,1,1,Matched (3),0
Ethiopia,Men,Secondary,,58,Single,1,0,Own Account Worker,No,,,,No,,,No,,yes,,,No,No,No,No,,No,Radio/Television/Newspaper,,yes,,No,No,,,No,No,No,,No,No,,,0,No,0,,,,,,1,Urban,,,No,,0,0,0,,yes,,Yes,,Yes,,,,,,,,,,,,,Yes,1406,12,,1,,No,Most food needs,Nonmissing conflict (5),0-40-1,,Radio/Television/Newspaper,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,Didn’t need any healthcare services,,,,,,,,,,,No,No,No,No,No,No,No,Feel less safe,No,No,"No, it didn’t change",The same feeling of safety,,,,,,,,,,,,Happens sometimes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,12-1-58-3-1-1,1,1-58-3,0,Somewhat,"No, stayed the same",,ESA,1,55-59,45-59,Secondary Education or Less,0,0,0,Single without children,1,1,Matched (3),1
Ethiopia,Women,Secondary,,26,Single,3,0,Own Account Worker,yes,,yes,,No,,,No,,yes,,,No,No,No,No,,No,Radio/Television/Newspaper,,yes,,No,yes,,,yes,yes,No,,No,No,,,0,yes,0,,,,,,1,Urban,,,No,,0,1,0,,No,,Yes,,,,,,,,,,,,,,,No,1639,12,Other,1,1,yes,,Nonmissing conflict (5),1-39-3,,Radio/Television/Newspaper,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Shorter waiting time as before COVID-19   outbreak,Yes,"Yes, we tried; able to access",,,,,,,,,,,No,No,No,Yes,No,No,No,The same feeling,No,No,"Yes, it decreased",Feel safer,,,,,,,,,,,,Happens sometimes,Yes,No,No,No,No,No,No,No,No,,Sexual harassment,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,12-0-26-3-1-2,2,0-26-3,0,Somewhat,"Yes, increased",No,ESA,2-3,25-29,25-34,Secondary Education or Less,0,0,0,Single without children,1,1,Matched (3),1
Ethiopia,Men,Technical,,33,Married,3,0,Own Account Worker,yes,,No,,yes,yes,yes,yes,yes,yes,yes,No,No,yes,yes,No,yes,No,Radio/Television/Newspaper,,No,,No,yes,,,No,yes,No,,No,No,,,1,yes,0,No,,,,,1,Urban,,,Yes,,0,0,1,,yes,,Yes,Yes,Yes,,,,,,,,,,,,,No,754,12,Own Account Worker,1,,yes,,Nonmissing conflict (5),0-22-3,,Radio/Television/Newspaper,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Same waiting time as before COVID-19 outbreak,Yes,"Yes, we tried; able to access",,,,,,,,,,,No,No,No,No,No,No,Yes,The same feeling,No,No,"No, it didn’t change",Feel less safe,Yes,No,No,No,No,No,No,No,No,No,No,Happens very often,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,12-1-33-5-2-4,4,1-33-5,0,A lot,"Yes, increased",,ESA,2-3,30-34,25-34,Tertiary Education and More,0,0,0,Partnered without children,1,1,Matched (3),0
Ethiopia,Women,Secondary,,25,Single,1,0,Formal employee,No,,,,No,,,No,,yes,,,No,No,No,No,,No,Radio/Television/Newspaper,,No,,,No,,,No,No,No,,No,No,,,0,No,0,,,,,,1,Urban,,,No,,0,0,0,,yes,,Yes,,,,,,,,,,,,,,,,1337,12,,1,,No,,Nonmissing conflict (5),0-27-5,,Radio/Television/Newspaper,No,No,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,,Feel safer,,,,,,,,,,,,Happens sometimes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,12-0-25-3-1-2,2,0-25-3,0,A lot,"Yes, increased",,ESA,1,25-29,25-34,Secondary Education or Less,0,0,0,Single without children,1,1,Matched (3),1
Ethiopia,Men,Primary,,21,Married,18,1,Formal employee,No,,,,yes,No,No,yes,No,yes,yes,No,No,No,No,No,,No,Radio/Television/Newspaper,,yes,,yes,yes,,,No,No,No,,No,No,,,11,No,0,No,,,,,1,Rural,,,Yes,,0,0,,,No,,Yes,,,,,,,,,,,,,,,Yes,835,12,,1,,No,,Nonmissing conflict (5),1-24-4,,Radio/Television/Newspaper,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Longer waiting time as before COVID-19 outbreak,Yes,"Yes, we tried; able to access",,,,,,,,,,,No,No,No,Yes,No,No,No,Feel less safe,No,No,"No, it didn’t change",Feel less safe,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,12-1-21-2-2-1,1,1-21-2,0,Not at all,"No, stayed the same",,ESA,8 and more,18-24,18-24,Secondary Education or Less,1,1,1,Partnered with children,1,1,Matched (3),1
Ethiopia,Women,Secondary,,48,Married,6,1,Formal employee,No,,,,yes,No,No,No,No,yes,yes,No,No,No,No,No,yes,yes,Radio/Television/Newspaper,,No,,No,No,,,No,yes,No,,No,yes,,,2,No,0,No,,,,,1,Urban,,,Yes,,0,0,0,,No,,Yes,Yes,No,,,,,,,,,,,,,No,1228,12,,1,,No,,Nonmissing conflict (5),0-28-5,,Radio/Television/Newspaper,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,,No,Didn’t need any healthcare services,,,,,,,,,,,No,No,No,No,No,No,Yes,The same feeling,No,No,"No, it didn’t change",Feel less safe,No,No,No,No,No,No,No,No,Yes,No,No,Happens sometimes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,12-0-48-3-2-6,6,0-48-3,0,A lot,"Yes, increased",,ESA,6-7,45-49,45-59,Secondary Education or Less,0,1,0,Partnered with children,1,1,Matched (3),1
Ethiopia,Men,Secondary,,30,Married,4,1,Employer,No,,No,,No,,,No,,yes,,,No,No,No,No,yes,No,Radio/Television/Newspaper,,No,,No,yes,,,yes,No,No,,No,No,,,2,No,0,,,,,,1,Urban,,,No,,0,0,1,,yes,,Yes,,,,,,,,,,,,,,,No,1538,12,Employer,1,,No,,Nonmissing conflict (5),0-30-2,,Radio/Television/Newspaper,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Didn’t need any healthcare services,,,,,,,,,,,No,No,No,Yes,No,No,No,The same feeling,No,No,"No, it didn’t change",Feel safer,,,,,,,,,,,,Happens very often,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,12-1-30-3-2-1,1,1-30-3,0,A lot,,,ESA,4-5,30-34,25-34,Secondary Education or Less,0,1,0,Partnered with children,1,1,Matched (3),1
Ethiopia,Men,Tertiary,,50,Married,4,0,Other,,,,,yes,yes,yes,yes,yes,yes,yes,No,No,No,No,No,yes,No,Radio/Television/Newspaper,,No,,yes,yes,,,No,yes,No,,No,No,,,1,yes,0,No,,,,,1,Urban,,,No,,0,0,1,,yes,,No,No,No,,,,,,,,,,,,,Yes,896,12,Other,,1,yes,No food needs,Nonmissing conflict (5),1-42-4,,Radio/Television/Newspaper,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Longer waiting time as before COVID-19 outbreak,Yes,"Yes, we tried; able to access",,,,,,,,,,,No,No,Yes,No,No,No,No,Feel less safe,No,No,"Yes, it increased",The same feeling of safety,,,,,,,,,,,,Happens very often,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,12-1-50-4-2-13,13,1-50-4,0,A lot,"Yes, increased",,ESA,4-5,50-54,45-59,Tertiary Education and More,0,0,0,Partnered without children,1,1,Matched (3),1
