country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Egypt,Men,,,40,Single,4,1,,yes,,yes,,No,No,,,,yes,yes,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,1,,1,,Yes,Afraid of being attacked by outsiders,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,4-5,40-44,35-44,,,,0,Single Parent,3,1,Matched (3),1
Egypt,Men,Secondary,,26,Single,5,1,,yes,,No,,No,,yes,,,yes,No,yes,yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,1,Rural,0,Paid Leave,Yes,Afraid of violence by spouse,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,4-5,25-29,25-34,Secondary Education or Less,0,1,0,Single Parent,3,1,Matched (3),1
Egypt,Women,No Education,,98,Single,1,1,,yes,,No,,yes,yes,yes,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Urban,0,Student,Yes,Increased armed conflicts or civil unrest,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,1,>=60,>60,Secondary Education or Less,0,1,0,Single Parent,3,1,Matched (3),1
Egypt,Women,Secondary,,26,Married,2,1,,yes,,yes,,,yes,No,,,No,yes,yes,yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,3,Urban,0,,Yes,Afraid of being attacked by outsiders,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,2-3,25-29,25-34,Secondary Education or Less,0,1,0,Partnered with children,3,1,Matched (3),1
Egypt,Men,Secondary,,98,Single,4,1,,yes,,yes,,,No,No,,,No,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Rural,0,,No,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,4-5,>=60,>60,Secondary Education or Less,0,1,0,Single Parent,3,1,Matched (3),1
Egypt,Men,,,33,Married,5,1,,yes,,yes,,yes,yes,yes,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,No,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,4-5,30-34,25-34,,,,0,Partnered with children,3,1,Matched (3),1
Egypt,Women,Secondary,,37,Married,4,0,,No,,No,,,No,yes,,,No,yes,yes,yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,3,Urban,0,Employed,Yes,Afraid of violence by spouse,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,4-5,35-39,35-44,Secondary Education or Less,0,0,0,Partnered without children,3,1,Matched (3),1
Egypt,Men,Tertiary,,35,Married,3,1,,No,,No,,No,,No,,,yes,No,yes,yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,1,Urban,0,Employed,Yes,Increased armed conflicts or civil unrest,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,2-3,35-39,35-44,Tertiary Education and More,0,0,0,Partnered with children,3,1,Matched (3),1
Egypt,Men,Tertiary,,21,Single,5,0,,yes,,No,,,No,No,,,No,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Urban,0,Student,No,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,4-5,18-24,18-24,Tertiary Education and More,0,0,0,Single without children,3,1,Matched (3),1
Egypt,Women,Tertiary,,58,Married,5,0,,yes,,No,,No,No,No,,,yes,yes,yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Urban,0,Unpaid Leave,No,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,4-5,55-60,45-59,Tertiary Education and More,0,0,0,Partnered without children,3,1,Matched (3),1
