country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Cote D'Ivoire,Men,Secondary,820,19,Single,1,1,Employer,yes,,No,,yes,,,yes,,yes,No,No,,,,,,No,Official Government websites or other communication platforms,,No,,No,,,,,No,Yes,Yes,No,,,,,,,,,,,,0,,,,Yes,,,,,,,No,,,,,No,,yes,No,No,yes,No,yes,No,No,,,,,,,,,,,,,WCARO,1,18-24,18-24,Secondary Education or Less,1,1,1,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,Tertiary,632,29,Single,3,1,Informal/no insurance employee,No,,No,,No,No,No,No,No,yes,No,yes,,,,,,No,Internet and social media ,,yes,No,No,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,,,,,,No,,No,No,No,No,No,yes,No,No,,,,,,,,,,,,,WCARO,2-3,25-29,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),0
Cote D'Ivoire,Women,No Education,407,30,Single,7,1,Own Account Worker,No,,No,,No,yes,No,No,No,No,No,yes,,,,,,No,"Community, including family and friends",,No,,No,,,,,yes,No,No,No,,,,,,,,,,,,1,,,,Yes,,,,,,No,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,30-34,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,No Education,1523,40,Single,10,1,Own Account Worker,yes,,No,,No,No,No,No,No,No,No,yes,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,,,yes,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,No Education,1344,45,Single,3,0,Own Account Worker,yes,,No,,No,No,No,No,No,yes,yes,yes,,,,,,No,Public service announcement/speaker,,yes,No,No,,,,,yes,Yes,No,yes,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,yes,,No,No,No,No,yes,yes,No,No,,,,,,,,,,,,,WCARO,2-3,45-49,45-59,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Cote D'Ivoire,Women,No Education,1211,47,Single,6,1,Not employed,,,,,No,No,No,No,No,No,No,yes,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,yes,No,Yes,No,,,,,,,,,,,,2,,,,Yes,,,,,,yes,No,,,,,No,,yes,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,45-49,45-59,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),5
Cote D'Ivoire,Men,Secondary,2257,42,Single,7,1,Formal employee,,,yes,,yes,yes,No,No,yes,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,,yes,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,yes,No,yes,,,,,,,,,,,,,WCARO,6-7,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,Primary,146,48,Separated/Divorced,1,0,Not employed,,,,,No,No,No,No,No,yes,yes,yes,,,,,,No,Public service announcement/speaker,,No,,No,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,1,45-49,45-59,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Cote D'Ivoire,Men,Secondary,259,40,Single,13,1,Formal employee,,,yes,,No,No,No,No,No,No,yes,yes,,,,,,yes,Radio/Television/Newspaper,,No,No,No,,,,,No,Yes,No,No,,,,,,,,,,,,0,,,,No,,,,,,yes,No,,,,,No,Live in densely populated area and children play,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,No Education,1084,54,Married,6,0,Not employed,,,,,No,yes,yes,No,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,No,,yes,,,,,yes,No,No,No,,,,,,,,,,,,4,,,,Yes,,,,,,No,yes,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,50-54,45-59,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),9
