Base Dataset,SERIES Code,SERIES Description,REF_AREA Code,REF_AREA Description,TIME_PERIOD,TIME_DETAIL,OBS_VALUE,UNIT_MEASURE Code,UNIT_MEASURE Description,Age code,Age,Sex code,Sex,SOURCE_DETAIL
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","8","Albania","2025","2025","2.3","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","24","Angola","2025","2025","43.6","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","32","Argentina","2025","2025","1.1","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","51","Armenia","2025","2025","2.7","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","40","Austria","2025","2025","0.2","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","36","Australia","2025","2025","0.4","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","50","Bangladesh","2025","2025","5.8","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","84","Belize","2025","2025","10.6","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","64","Bhutan","2025","2025","1.4","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","204","Benin","2025","2025","41.5","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","894","Zambia","2025","2025","44.8","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","704","Viet Nam","2025","2025","0.6","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","548","Vanuatu","2025","2025","9.3","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","860","Uzbekistan","2025","2025","35.1","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","840","United States of America","2025","2025","1.1","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","826","United Kingdom of Great Britain and Northern Ireland","2025","2025","0.1","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
