Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Turkmenistan,TKM,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"A woman can be ""head of household"" in the same way as a man (1=yes; 0=no)",SG.HLD.HEAD.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,40.58,,,,,,
Turkmenistan,TKM,"Account, female (% age 15+)",account.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,35.52,,,,,,
Turkmenistan,TKM,"Account, male (% age 15+)",account.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,45.71,,,,,,
Turkmenistan,TKM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,51.956,49.736,46.324,42.966,39.233,35.892,34.245,34.038,34.924,34.208,32.278,30.354,28.792,28.665,27.677,25.85,24.839,23.706,22.425,22.581,22.425,23.22,23.905,22.299,22.263,21.48,21.233,20.56,20.156,21.361,22.432,23.682,25.495,27.238,26.062,25.232,25.009,26.081,26.586,25.925,24.395,22.877,21.753,21.509,20.841,21.338,21.678,22.06,22.55,23.344,24.177,25.095,26.386,27.53,28.296,28.691,28.337,26.888,25.82,25.683,24.73,24.023,22.303,
Turkmenistan,TKM,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,24.8,,,,,,,,,23.5,,,,,,,,
Turkmenistan,TKM,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,Age dependency ratio (% of working-age population),SP.POP.DPND,82.93704285413742,86.76537008273021,90.41147335764435,93.69241900819526,96.03926272254708,97.38921874372186,98.41258820072532,99.2853885048794,99.74656136609464,99.63321657861066,99.06199653484512,98.07099762555922,96.67074796707846,94.9662271620126,93.17247991053166,91.41587759549424,89.70078163346714,88.04581127537577,86.46157257282226,84.934236267064,83.51401559109372,82.25500275841317,81.16123011314852,80.29931401816314,79.77255977971859,79.6601899316109,79.86807847165734,80.26157446926257,80.67309727586563,80.94786617464764,81.08738279233538,81.1081530969594,81.15736767006828,80.99497690886216,80.55674099324425,79.96159631214675,78.8962341256455,77.27153255610236,75.18651640228201,72.81791021349052,70.3890407943669,68.03553631711982,65.82066621492561,63.78207081684888,61.835753207440256,59.9336113140604,58.096109538987385,56.29623425874375,54.57932535540754,53.01889694646632,51.68774502173624,50.668720679680014,49.989968039749805,49.65272432194629,49.636001212795634,49.88280927861153,50.36252270790798,51.05055422994524,51.91537508839157,52.9006878790807,53.905405204903865,54.83310238769481,55.604406909081675,56.110568209519975
Turkmenistan,TKM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,34564.5,35630.5,36659.5,37362.0,37738.5,37845.5,37773.5,37642.0,37575.5,37663.5,37957.0,38432.0,38906.0,39605.0,40598.0,41597.0,42624.5,43657.0,44644.5,45662.0,46811.5,48155.5,49621.5,51400.5,53793.5,56777.5,59446.5,61196.5,61556.0,61647.5,61585.0,60748.5,59891.5,58572.5,57070.0,55712.5,53904.5,52334.5,51540.0,51232.0,51826.5,52697.0,53252.0,53524.5,53719.5,54128.0,54995.5,56540.0,58930.5,61875.5,64921.0,67925.5,70800.5,73457.5,75831.5,77866.0,79485.0,80604.0,81136.0,80982.0,80044.0,78638.0,77683.0,76638.0
Turkmenistan,TKM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,35973.0,37096.0,38183.0,38933.0,39345.5,39472.0,39413.5,39292.0,39237.5,39345.0,39662.0,40176.0,40691.5,41433.5,42486.0,43543.0,44627.5,45725.0,46777.5,47863.0,49086.0,50519.0,52095.0,53993.0,56541.0,59960.5,63002.5,64763.5,64954.0,64910.0,64838.0,63954.0,63040.0,61650.5,60073.0,58641.5,56728.0,55068.0,54229.5,54053.5,54808.0,55716.5,56400.5,56909.5,57390.0,58054.5,59079.5,60633.0,62845.0,65520.0,68353.0,71248.0,74146.5,76981.5,79628.0,81939.5,83805.0,85126.0,85808.0,85771.0,84946.0,83513.5,82321.5,81075.5
Turkmenistan,TKM,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,31886.5,32908.5,33964.0,34986.5,35699.0,36099.5,36241.5,36212.0,36124.0,36097.0,36218.0,36536.0,37029.0,37521.5,38230.0,39222.5,40221.5,41248.5,42279.5,43263.0,44271.5,45409.0,46743.5,48207.5,49998.0,52509.5,55574.5,58281.5,60016.5,60314.5,60430.5,60397.5,59568.0,58751.5,57464.0,55949.5,54643.0,52917.0,51429.5,50710.0,50395.0,50875.5,51611.5,52037.0,52189.0,52299.5,52687.0,53602.0,55262.5,57831.5,60970.5,64179.5,67310.0,70274.0,72984.0,75379.0,77405.5,78989.5,80049.5,80497.5,80235.0,79165.0,77976.0,77320.5
Turkmenistan,TKM,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,32796.0,33873.0,34985.5,36066.0,36830.5,37276.0,37449.0,37444.5,37378.0,37373.0,37520.0,37866.5,38401.0,38936.5,39689.0,40739.5,41795.5,42879.5,43974.5,45021.5,46095.5,47307.0,48733.5,50306.0,52197.0,54818.5,58184.5,61154.5,62878.5,63134.0,63267.0,63230.5,62353.0,61486.5,60139.5,58564.0,57198.0,55384.5,53825.5,52957.0,52652.5,53293.0,54093.0,54685.5,55123.0,55566.5,56240.5,57323.5,58982.5,61342.0,64173.5,67139.5,70142.5,73126.5,76022.5,78700.0,81010.5,82844.0,84103.5,84699.5,84555.5,83600.5,82539.5,81806.0
Turkmenistan,TKM,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,29834.0,31218.5,32244.0,33303.0,34330.5,35054.0,35470.5,35632.5,35625.0,35559.0,35553.0,35692.5,36026.0,36531.5,37035.5,37752.5,38750.0,39753.5,40783.0,41812.0,42789.5,43793.5,44931.5,46270.5,47741.5,49636.5,52347.5,55516.0,58291.5,59829.5,59869.5,59988.0,59934.0,59126.0,58319.5,57005.0,55516.5,54249.0,52562.0,51326.0,50811.5,50425.0,50787.0,51376.5,51656.0,51668.5,51673.5,52020.0,52965.5,54727.5,57464.0,60790.5,64159.5,67417.5,70476.5,73250.5,75680.5,77715.0,79281.5,80298.5,80678.0,80320.0,79116.5,77855.0
Turkmenistan,TKM,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,30501.0,31956.5,33041.5,34162.5,35253.0,36034.5,36502.5,36702.0,36726.5,36688.5,36709.0,36878.5,37243.5,37792.5,38342.0,39105.0,40162.0,41225.5,42313.0,43404.0,44442.0,45510.5,46723.0,48153.0,49732.0,51689.0,54465.0,57840.0,60790.5,62445.0,62574.5,62712.0,62651.5,61795.5,60940.5,59570.5,58025.5,56701.0,54930.5,53520.5,52759.5,52390.5,52923.0,53608.0,54098.0,54447.5,54834.0,55498.0,56620.5,58367.0,60859.0,63837.5,66934.0,70049.5,73128.0,76099.0,78826.5,81156.5,82981.5,84207.5,84743.0,84509.5,83467.5,82378.5
Turkmenistan,TKM,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,27838.5,29490.5,30871.0,31897.0,32957.0,33986.0,34714.0,35138.5,35310.5,35314.0,35259.0,35262.0,35408.0,35746.5,36255.5,36761.5,37479.0,38475.5,39480.5,40515.5,41553.0,42538.5,43548.5,44690.0,46030.5,47593.0,49694.5,52626.0,55897.0,58351.5,59571.0,59617.5,59720.5,59679.5,58875.0,58040.0,56744.0,55284.0,54039.0,52678.5,51734.5,51166.0,50695.0,50920.0,51346.5,51463.5,51320.5,51208.0,51503.5,52470.0,54326.0,57225.0,60735.0,64262.5,67648.5,70803.5,73642.0,76108.0,78153.5,79705.0,80681.0,80993.5,80428.5,79063.5
Turkmenistan,TKM,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,28283.5,30005.0,31454.0,32539.5,33661.0,34753.0,35541.0,36020.5,36235.0,36275.5,36254.0,36289.5,36470.5,36844.5,37400.0,37954.5,38720.5,39779.0,40846.0,41940.5,43042.0,44093.5,45175.5,46398.0,47834.0,49552.0,51794.0,54820.5,58212.5,60768.0,62112.5,62247.0,62369.5,62324.0,61473.0,60590.5,59241.0,57727.5,56430.0,54959.5,53812.5,52999.5,52541.5,52938.0,53480.0,53840.0,54076.0,54382.5,55016.5,56162.5,57985.5,60603.0,63725.0,66952.0,70180.5,73354.0,76401.0,79180.5,81534.5,83355.5,84547.5,85018.5,84572.5,83363.5
Turkmenistan,TKM,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,26045.0,27657.0,29304.0,30681.5,31707.5,32767.5,33797.0,34528.0,34957.0,35134.0,35142.5,35092.0,35098.0,35245.5,35584.0,36091.5,36596.5,37313.0,38310.5,39322.0,40368.0,41416.0,42408.0,43419.5,44560.5,45895.0,47569.5,49907.0,53057.0,56087.0,58199.0,59421.5,59455.0,59568.0,59527.0,58697.5,57875.5,56600.0,55155.5,54223.5,53192.5,52247.5,51621.0,51057.0,51139.0,51396.5,51346.5,51045.0,50810.5,51052.0,52037.5,53986.0,57046.5,60740.5,64426.5,67939.0,71189.5,74093.0,76596.0,78653.0,80190.5,81126.5,81192.5,80411.0
Turkmenistan,TKM,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,26316.0,27985.0,29696.5,31139.0,32222.0,33342.0,34433.5,35225.0,35711.0,35934.0,35985.0,35973.0,36016.0,36202.5,36579.5,37136.0,37691.5,38458.0,39519.5,40597.0,41708.5,42828.5,43895.0,44987.0,46215.0,47615.5,49494.0,52086.0,55365.5,58436.5,60567.5,61912.0,62034.5,62170.0,62125.5,61249.0,60380.5,59054.5,57560.5,56554.0,55387.0,54236.5,53364.5,52806.0,53057.0,53448.5,53671.5,53787.5,54009.0,54610.5,55779.5,57680.5,60425.0,63691.0,67047.0,70385.5,73653.0,76776.0,79607.0,81983.0,83795.0,84949.5,85172.0,84506.5
Turkmenistan,TKM,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,24407.0,25947.0,27556.0,29199.5,30575.0,31600.5,32660.5,33690.5,34423.0,34854.0,35033.5,35044.0,34994.5,35000.5,35146.5,35483.0,35988.5,36492.0,37210.0,38213.5,39235.0,40290.5,41344.0,42337.0,43347.5,44482.5,45820.5,47623.5,50196.5,53214.5,55995.0,58108.0,59317.5,59359.5,59471.5,59407.0,58588.0,57782.0,56518.0,55372.5,54753.5,53765.0,52816.5,52126.5,51464.5,51400.5,51488.5,51269.0,50806.5,50449.5,50635.5,51639.0,53679.5,56901.5,60778.5,64622.5,68262.5,71608.5,74577.5,77118.5,79187.0,80711.0,81380.0,81194.0
Turkmenistan,TKM,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,24547.0,26133.0,27794.0,29497.0,30933.5,32014.0,33132.0,34223.0,35016.5,35506.5,35735.0,35791.5,35784.5,35830.5,36018.5,36396.0,36951.5,37506.5,38276.5,39348.5,40443.5,41573.5,42707.5,43782.5,44878.0,45927.0,47302.5,49536.0,52478.5,55576.5,58312.5,60442.5,61775.5,61909.0,62044.0,61975.0,61110.0,60259.5,58947.0,57735.5,57020.5,55890.0,54731.5,53793.5,53128.5,53230.5,53469.0,53551.5,53545.5,53682.0,54251.0,55442.5,57419.5,60289.5,63698.0,67182.0,70631.5,73993.0,77191.0,80071.5,82468.0,84272.5,85161.5,85132.0
Turkmenistan,TKM,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,48.126,48.043,47.473,46.471,45.15,43.654,42.134,40.741,39.576,38.673,38.014,37.538,36.893,36.63,36.407,36.171,36.035,35.864,35.601,35.516,35.368,35.48,35.667,36.393,37.087,38.104,38.666,38.709,37.818,36.683,34.854,33.698,32.894,31.944,30.409,29.02,27.573,26.46,25.39,24.507,23.709,22.844,22.103,22.055,22.043,22.335,22.644,23.038,23.675,24.458,25.273,25.969,26.452,26.627,26.502,26.071,25.424,24.648,23.845,23.055,22.294,21.592,20.755,
Turkmenistan,TKM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,,,97.2,,97.2,99.5,98.5,99.7,99.5,,,,,,,,,,100.0,,,100.0,,,,
Turkmenistan,TKM,Borrowed any money (% age 15+),borrow.any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.94,,,,,,
Turkmenistan,TKM,Borrowed any money from a formal financial institution or using a mobile money account (% age 15+),fin22a.c.MM.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Borrowed any money from a formal financial institution or using a mobile money account, female (% age 15+)",fin22a.c.MM.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Borrowed any money from a formal financial institution or using a mobile money account, male (% age 15+)",fin22a.c.MM.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Borrowed any money, female (% age 15+)",borrow.any.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85,,,,,,
Turkmenistan,TKM,"Borrowed any money, male (% age 15+)",borrow.any.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.04,,,,,,
Turkmenistan,TKM,Borrowed for education or school fees (% age 15+),fin22a.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Borrowed for education or school fees, female (% age 15+)",fin22a.2014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Borrowed for education or school fees, male (% age 15+)",fin22a.2014.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,Borrowed for health or medical purposes (% age 15+),fin20.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.47,,,,,,
Turkmenistan,TKM,"Borrowed for health or medical purposes, female (% age 15+)",fin20.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.48,,,,,,
Turkmenistan,TKM,"Borrowed for health or medical purposes, male (% age 15+)",fin20.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.43,,,,,,
Turkmenistan,TKM,Borrowed from a formal financial institution (% age 15+),fin22a.c.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,6.84,,,,,,
Turkmenistan,TKM,"Borrowed from a formal financial institution, female (% age 15+)",fin22a.c.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,6.82,,,,,,
Turkmenistan,TKM,"Borrowed from a formal financial institution, male (% age 15+)",fin22a.c.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,6.87,,,,,,
Turkmenistan,TKM,Borrowed from a savings club (% age 15+),fin22c.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,
Turkmenistan,TKM,"Borrowed from a savings club, female (% age 15+)",fin22c.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,
Turkmenistan,TKM,"Borrowed from a savings club, male (% age 15+)",fin22c.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,
Turkmenistan,TKM,Borrowed from a store by buying on credit (% age 15+),fin21b.2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.08,,,,,,,,,,,,
Turkmenistan,TKM,"Borrowed from a store by buying on credit, female (% age 15+)",fin21b.2014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,
Turkmenistan,TKM,"Borrowed from a store by buying on credit, male (% age 15+)",fin21b.2014.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.58,,,,,,,,,,,,
Turkmenistan,TKM,Borrowed from family or friends (% age 15+),fin22b.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.02,,,,,,21.07,,,,,,
Turkmenistan,TKM,"Borrowed from family or friends, female (% age 15+)",fin22b.t.d.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95,,,,,,19.8,,,,,,
Turkmenistan,TKM,"Borrowed from family or friends, male (% age 15+)",fin22b.t.d.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.18,,,,,,22.36,,,,,,
Turkmenistan,TKM,"Borrowed to start, operate, or expand a farm or business (% age 15+)",fin21.t.d.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,,,,,,
Turkmenistan,TKM,"Borrowed to start, operate, or expand a farm or business, female (% age 15+)",fin21.t.d.2017.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,,,,,,
Turkmenistan,TKM,"Borrowed to start, operate, or expand a farm or business, male (% age 15+)",fin21.t.d.2017.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,,,,,,
Turkmenistan,TKM,"Can use a mobile money account without help from anyone, including a mobile money agent (% age 15+)",fin13d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Can use a mobile money account without help from anyone, including a mobile money agent (% with a mobile money account, age 15+)",fin13d.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Can use account at a bank or financial institution without help if opened (% without an account, age 15+)",fin11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5220634006108,,,,,,,,,,19.5035804114595,,,,,22.8526634237117,,,,21.9530614355745,,,,
Turkmenistan,TKM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 0-4 (% of population ages 0-4)",SH.DTH.COMM.0004.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0236865145669,,,,,,,,,,77.0486979673676,,,,,75.1395811591704,,,,75.3614178941996,,,,
Turkmenistan,TKM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 0-4, female (% of female population ages 0-4)",SH.DTH.COMM.0004.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1768826642619,,,,,,,,,,77.2170053172095,,,,,75.2464715817147,,,,75.610520967669,,,,
Turkmenistan,TKM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 0-4, male (% of male population ages 0-4)",SH.DTH.COMM.0004.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9098086620984,,,,,,,,,,76.9266050005011,,,,,75.0618969772056,,,,75.1793598224002,,,,
Turkmenistan,TKM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59 (% of population ages 15-59)",SH.DTH.COMM.1559.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8342583695598,,,,,,,,,,17.3348676300607,,,,,24.8622394711889,,,,24.848542045302,,,,
Turkmenistan,TKM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59, female (% of female population ages 15-59)",SH.DTH.COMM.1559.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6320853195518,,,,,,,,,,16.4109127892544,,,,,19.2220885230169,,,,21.9900622272109,,,,
